id,seed,creation_mode,gmean_inv,dem_fpr,dem_ppv,num_leaves,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight
NVK2ENB2FB,105,inicialization,0.22650753184623817,0.3181818181818182,0.33333333333333337,3,2,3,0,4,37,4,8
8PN4GYCH5Y,105,inicialization,0.08013378899220014,1.0,0.4,5,4,5,0,5,24,5,4
F515YAWAED,105,inicialization,0.08013378899220014,1.0,0.4,5,4,5,1,4,13,5,4
80H4DPAKW0,105,inicialization,0.0,1.0,0.0,4,3,4,1,4,13,4,7
1C37M1P9SM,105,inicialization,0.08013378899220014,1.0,0.4,5,4,5,0,4,25,6,2
GK07S8AM2S,105,inicialization,0.08013378899220014,1.0,0.4,5,4,5,1,5,26,5,1
VFM23CJCJ9,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,3,2,3,1,4,37,6,3
QSFKJM7I5H,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,3,2,3,1,5,22,4,3
MQROGUP93M,105,inicialization,0.08013378899220014,1.0,0.4,5,4,5,0,4,33,5,1
H4BIVZZOBR,105,inicialization,0.18350341907227397,1.0,0.0,2,1,2,1,4,4,2,3
SOB2AO6QZ3,105,inicialization,0.09417837268432339,1.0,0.33333333333333337,5,3,5,0,4,5,5,5
1E95O3UTI0,105,inicialization,0.08013378899220014,1.0,0.4,6,4,6,0,4,19,6,2
0NXLZ6JCIZ,105,inicialization,0.08013378899220014,1.0,0.4,5,4,5,0,4,23,5,3
60HW4L4LZ4,105,inicialization,0.21553545944726393,0.2272727272727273,0.4571428571428571,5,4,5,0,4,24,5,5
64SNVP9RZZ,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,3,28,6,6
I2QSOMYMBG,105,inicialization,0.0,1.0,0.0,4,3,4,1,3,2,5,8
TH7G6F2S2D,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,5,28,4,9
MM9MCL5LWH,105,inicialization,0.173101769405277,0.3181818181818182,0.3571428571428571,5,4,5,0,4,29,5,7
GK0RD0VP12,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,5,30,5,6
SYJO1RU46B,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,2,1,2,1,3,37,2,2
EY3XCDRB7M,105,inicialization,0.08013378899220014,1.0,0.4,6,5,6,0,5,26,7,3
HDELMIMWPE,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,3,10,3,6
9WRGV734CP,105,inicialization,0.08013378899220014,1.0,0.4,6,4,6,0,4,17,7,2
NOQGBNM6HX,105,inicialization,0.08013378899220014,1.0,0.4,5,4,5,0,4,23,6,4
FWDLGIJ0NW,105,inicialization,0.08013378899220014,1.0,0.4,5,4,5,0,4,28,6,1
LTTKFSAPW6,105,inicialization,0.1679497056621564,1.0,0.5714285714285714,3,2,3,0,4,23,3,2
PW56EBJ838,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,3,30,6,7
9VKBYP123W,105,inicialization,0.21553545944726393,0.2272727272727273,0.4571428571428571,3,2,3,0,4,4,3,5
DZMRXKZLYK,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,3,3,3,7
8XH1N389KU,105,inicialization,0.08013378899220014,1.0,0.4,5,4,5,0,5,19,5,1
AAZFPMUHJU,105,inicialization,0.1229419806929708,1.0,0.5,3,2,3,0,4,35,3,1
T3O1MGQ3R6,105,inicialization,0.22650753184623817,0.3181818181818182,0.33333333333333337,3,2,3,0,4,32,3,6
92YQEXSLF0,105,inicialization,0.11808289631180313,1.0,0.0,4,3,4,0,3,37,5,9
5EA0KJCDNW,105,inicialization,0.22650753184623817,0.3181818181818182,0.33333333333333337,3,2,3,0,5,37,7,6
D92PIWQ0QT,105,inicialization,0.08013378899220014,1.0,0.4,5,4,5,0,4,33,6,3
