id,creation_mode,error,dem_fp,dem_ppv,num_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
SCL4KKKB9R,inicialization,0.47373778228984953,0.16709956709956708,0.2806267806267806,15,0,5,29,77,1
7LVE14YDKG,inicialization,0.42742467130434614,0.07662337662337662,0.16117216117216115,31,1,12,39,89,5
2WSBZHMPP6,inicialization,0.6149645338871694,0.016017316017316013,0.38333333333333336,22,1,10,22,22,9
T6FGPGEV05,inicialization,0.42544000216901645,0.03549783549783547,0.18458417849898578,46,1,10,14,62,3
0GQ6UENWRA,inicialization,0.4621591310420765,0.07445887445887445,0.04545454545454547,30,0,12,4,30,5
KRA2MQG8ME,inicialization,0.42742467130434614,0.05108225108225112,0.20594965675057209,13,1,4,20,22,3
RV4V3BDY11,inicialization,1.0,1.0,1.0,3,1,8,35,3,7
F6PSF1Z1GR,inicialization,0.412760120300832,0.08571428571428569,0.2581699346405229,52,1,12,16,85,6
G3PGU76ABX,inicialization,0.49503602447341155,0.05238095238095239,0.4678362573099415,16,0,13,29,16,7
FZYFFGU7Z6,inicialization,0.5372449613526706,0.016017316017316013,0.3571428571428571,14,0,6,36,14,6
1R7ZHN0F0C,inicialization,0.4450027357678151,0.02467532467532467,0.3766233766233766,21,0,11,39,21,6
32Q68OAGER,inicialization,0.41653515037439715,0.05324675324675321,0.16279069767441862,16,1,5,31,20,2
FKX7RCBP5H,inicialization,0.4401974749834854,0.042857142857142844,0.3357142857142857,15,0,8,25,15,6
YNFWXYS1AI,inicialization,0.43948023891096066,0.07662337662337662,0.07500000000000001,10,1,10,14,10,5
XVO47T56BV,inicialization,0.42183843825231415,0.03766233766233773,0.26988036593947917,7,1,3,36,40,2
9VOD1B0ZM5,inicialization,0.4362639690641271,0.006493506493506496,0.3461538461538462,77,1,11,4,103,8
0R72WC03G8,inicialization,0.39203095805275456,0.08138528138528138,0.32323232323232326,67,0,12,9,79,7
E96ZNZPL10,inicialization,0.4751392820289839,0.02251082251082251,0.2705882352941177,13,0,4,23,90,6
EKE05H8IAQ,inicialization,0.425556557601361,0.05411255411255411,0.3102564102564102,86,0,13,3,86,9
6JIA6PEEYR,inicialization,0.35869174158691397,0.074025974025974,0.15000000000000002,55,0,10,7,69,1
SOK4QJHRHB,inicialization,0.5941369823796255,0.04069264069264069,0.0714285714285714,4,0,10,3,4,7
MESV94ID3P,inicialization,0.44235471817156,0.10129870129870128,0.16666666666666669,31,1,11,38,42,3
3OTQXZVI5W,inicialization,0.8685617465741422,1.0,1.0,8,0,3,4,40,7
J6UVZZJ3QD,inicialization,0.47475668395754467,0.08571428571428569,0.1111111111111111,33,0,11,30,33,5
MOXXTBGZG4,inicialization,0.8685617465741422,1.0,1.0,8,1,3,33,81,8
L6SFDRLN46,inicialization,0.4422346524404177,0.06753246753246753,0.0853658536585366,13,1,9,18,13,4
AO42GUGXU2,inicialization,0.4544947286493185,0.06753246753246753,0.09999999999999998,11,0,4,39,104,4
M9MXO2WA2W,inicialization,0.4128741585346869,0.03290043290043293,0.18840579710144928,14,1,12,36,14,3
N3GLU9LGVZ,inicialization,0.4425949272207531,0.14718614718614717,0.16666666666666663,75,0,12,7,84,9
MNSVQ77JZD,inicialization,0.3665711659126806,0.06536796536796535,0.28104575163398693,35,1,10,27,71,6
QWBVFN3HU6,inicialization,0.43129703581705325,0.03203463203463203,0.3185185185185186,32,1,10,5,32,6
V4ZLVCOFEW,inicialization,0.4971621980242986,0.004761904761904773,0.4803921568627451,51,0,11,16,66,7
61JITK2VSR,inicialization,0.39203095805275456,0.08138528138528138,0.1367521367521367,6,0,6,15,6,7
QVU2JDQ62Z,inicialization,0.4337750561632764,0.07229437229437229,0.3409090909090909,62,0,12,11,88,6
IW3PVW659C,inicialization,0.36932567799065696,0.08095238095238094,0.10835913312693501,32,0,7,7,32,3
56TCUW5X2Q,inicialization,0.8680532794784902,1.0,1.0,4,0,11,12,4,8
JQSB7D4VJF,inicialization,0.483887573330543,0.042857142857142844,0.32894736842105265,59,1,13,11,88,9
O1FVRD5UWA,inicialization,0.46440482297534735,0.004329004329004321,0.38888888888888895,46,0,10,11,46,8
LW1X5UEBG2,inicialization,0.41906546521288945,0.021645021645021578,0.26657824933686997,40,0,13,29,97,1
SQHVDR03S1,inicialization,0.3914805106408189,0.01904761904761909,0.25671641791044775,20,0,10,9,20,2
ISRVPYQU58,inicialization,0.4617857600363603,0.08571428571428569,0.033492822966507185,18,0,5,21,105,5
SS8CHWPEMI,inicialization,0.42953361154088054,0.024242424242424232,0.25490196078431376,36,1,10,24,63,5
ZYWWGTQQJP,inicialization,0.5743272759747131,0.016017316017316013,0.4404761904761904,16,0,6,35,17,7
CS7D4DMWN5,inicialization,0.6563144943441594,0.011255411255411255,0.5,23,1,8,36,95,8
BLT41GAHGT,inicialization,0.448877109586723,0.038961038961038974,0.33333333333333337,34,1,12,29,43,5
MCLBXGGGS7,inicialization,0.370388314502875,0.10562770562770568,0.2497354497354497,5,1,10,9,5,3
U3JNX4C5RY,inicialization,0.5608547694126584,0.043290043290043295,0.6031746031746031,36,0,12,22,36,8
JD8QTFR7L8,inicialization,0.5795504519937713,0.013419913419913415,0.39285714285714285,18,1,5,21,90,8
PFLG5L6DXE,inicialization,0.4450027357678151,0.05844155844155843,0.09523809523809523,16,0,4,12,47,4
W7JDCGSSZT,inicialization,0.40483173992475796,0.02467532467532467,0.3057142857142857,32,1,7,16,62,7
S30AHBZ4R1,inicialization,0.4223018944885162,0.015151515151515138,0.125,32,0,9,33,38,3
K5AJ64ED09,inicialization,0.4330659451229366,0.001731601731601723,0.31666666666666665,8,1,3,3,57,4
9HHMR99FAD,inicialization,0.4126461042081744,0.16753246753246753,0.16705882352941182,77,1,13,5,79,9
