-,NSGA-II₂,NSGA-II₄,SMS-EMOA,GrEA
NSGA-II₂,0.019108,0.48828125,0.43460490463215257,0.4308617234468938
NSGA-II₄,0.7564102564102564,0.292994,0.797683923705722,0.7695390781563126
SMS-EMOA,0.8076923076923077,0.8375,0.273885,0.7915831663326653
GrEA,0.717948717948718,0.775,0.752724795640327,0.414013
