alg,seed,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst,max_iter,tol,lambda,l1_ratio,class_weight
nsga2_2,102.0,0.47339317622300303,0.7278655810983398,0.14608732750507414,0.7055414975553845,0.47554920643742754,0.6686499387487855,0.0856156902620165,0.6663412883763928,81.0,0.042392628576210345,48782.573556008836,0.3990000693198697,1.0
nsga2_4,104.5,0.9876362246323117,9.074542370770666e-05,0.002743959790595918,8.485843078231576e-05,0.9725182864227071,0.0007607216088750901,0.006173909528840815,0.0008737351595466802,105.6956542826955,0.05307188141322787,57636.34158398998,0.5772856755047349,7.879565428269551
smsemoa,104.5,0.4733931762230029,0.017156655622117278,0.05305144073632312,0.022353487428438987,0.4855176031320945,0.02718803531673717,0.10173012955043018,0.037295337864657274,145.49826875342788,0.05235604580154962,47780.124251068846,0.5040116716821865,1.9891074956850034
grea,104.5,0.47339317622300303,0.01678377662301175,0.04816324289064168,0.026940900282218898,0.5063005368520267,0.026735309642687527,0.11861247154837906,0.035564719081700766,105.47807683780896,0.045666272987988664,48125.65713949038,0.4615167595498937,1.8044310786500906
