-,NSGA-II₂,NSGA-II₄,SMS-EMOA,GrEA
NSGA-II₂,0.936875,0.0,0.30570652173913043,0.34213421342134215
NSGA-II₄,0.12955465587044535,0.000625,0.007472826086956522,0.0011001100110011
SMS-EMOA,0.9723346828609987,0.0,0.034375,0.8745874587458746
GrEA,0.9689608636977058,0.0,0.8417119565217391,0.028125
