Measures,error_val,dem_fpr_val,error_tst,dem_fpr_tst,dem_ppv_val,dem_pnr_val,dem_ppv_tst,dem_pnr_tst
Min,0.1850454347657002,0.0,0.2823230246386223,0.081025641025641,0.0159624413145539,0.0136217948717948,0.0364912280701753,0.1268564356435643
Q1,0.1883227372444746,0.0129060970182465,0.3046088898549277,0.1302197802197802,0.0851851851851851,0.0482456140350876,0.0432748538011695,0.2016941391941392
Q2,0.1899074126990174,0.0440587449933244,0.307208491889462,0.1646153846153846,0.091869918699187,0.0614035087719297,0.0585016835016835,0.2386551155115511
Q3,0.2069639037219049,0.405982905982906,0.3073515287233322,0.1973026973026973,0.1571428571428571,0.2932692307692307,0.0833333333333333,0.2541208791208791
Max,0.25623156200219,0.5282608695652175,0.3259161888092353,0.2587912087912087,0.4047619047619048,0.4940629839958698,0.1438263229308005,0.2739093449993924
