-,NSGA-II₂,NSGA-II₄,SMS-EMOA,GrEA
NSGA-II₂,0.093023,0.9486666666666667,0.0980653769179453,0.6180555555555556
NSGA-II₄,0.9465597862391449,0.066445,0.133422281521014,0.5694444444444444
SMS-EMOA,0.9732798931195725,0.966,0.634551,0.7638888888888888
GrEA,0.916499665998664,0.9166666666666666,0.08739159439626418,0.20598
