Measures,error_val,dem_fpr_val,error_tst,dem_fpr_tst,dem_ppv_val,num_leaves,dem_ppv_tst
Min,0.3239404523201952,0.0,0.3202547746187757,0.0,0.0419748117589844,4.0,0.0018215550683082
Q1,0.33778383997127603,0.0065348378625812,0.33483122504920443,0.0011071304174752,0.060827524193073454,61.25,0.07340152826486525
Q2,0.36281661415119026,0.026409465430661902,0.34949658697942687,0.011401481422068099,0.07616839541019345,90.0,0.0937978633519165
Q3,0.37160350843127143,0.09839527680991089,0.355510726063651,0.07186836234655203,0.08527941574354915,118.5,0.1077993693499968
Max,1.0,0.1354202083852785,1.0,0.1481252764675224,0.12416804524295,221.0,0.1428688591814976
