Measures,error_val,dem_fpr_val,dem_ppv_val,num_leaves,error_tst,dem_fpr_tst,dem_ppv_tst
Min,0.3168500896383479,0.0,0.0,7.0,0.3198992506213949,0.0,6.431281754448737e-05
Q1,0.3630551210402055,0.026876489417206,0.0070385818561001,18.0,0.3554847970579323,0.0202683650959513,0.017816091954023
Q2,0.3908716267420048,0.0545675834909609,0.0352564102564102,31.0,0.4013437518219767,0.0455824136658138,0.0492844184640193
Q3,0.5003920520962815,0.0890121913097843,0.0685739554131624,63.0,0.4926649033385477,0.0812301491687293,0.0789692942347944
Max,1.0,0.1920696024930552,0.1753952569169959,295.0,1.0,0.1731266149870801,0.2723404255319149
