Measures,error_val,dem_fpr_val,error_tst,dem_fpr_tst,dem_ppv_val,num_leaves,dem_ppv_tst
Min,0.2481905884438877,0.0185185185185185,0.271897202326596,0.0054590570719603,0.0102707749766573,14.0,0.0777491408934707
Q1,0.2793446709830414,0.07434043145136193,0.2957981977777113,0.0054590570719603,0.05457516339869268,18.0,0.11827506385696038
Q2,0.33345782285722203,0.1199134199134199,0.40834020948188676,0.0072549148494459,0.18377120963327856,18.0,0.15680615680615673
Q3,0.3490537015745651,0.1199134199134199,0.4337826125291724,0.0392916436081903,0.1865079365079365,25.75,0.1839826839826839
Max,0.3490537015745651,0.1284763023893458,0.4337826125291724,0.1407199625993454,0.1865079365079365,67.0,0.1839826839826839
