-,NSGA-II₂,NSGA-II₄,SMS-EMOA,GrEA
NSGA-II₂,0.0,0.6212121212121212,0.6666666666666666,0.6323529411764706
NSGA-II₄,0.72,0.173913,0.7971014492753623,0.7647058823529411
SMS-EMOA,0.68,0.7424242424242424,0.140468,0.75
GrEA,0.72,0.7727272727272727,0.7971014492753623,0.685619
