Quality Measures,NSGA-II,SMS-EMOA,GrEA,General PF
Mean solutions,150.0,-47,-47,-
Proportion,1.0,-47,-47,-
Hypervolume,0.7836963965563668,-47,-47,0.783332
Spacing,0.03959267403540453,-47,-47,0.0
Maximum spread,0.10964646345945306,-47,-47,0.109646
Overall PF spread,1.0,-47,-47,-
Error ratio,0.5,-47,-47,-
GD,0.048533751615770324,-47,-47,-
Inverted GD,0.0,-47,-47,-
