-,NSGA-II₂,NSGA-II₄,SMS-EMOA,GrEA
NSGA-II₂,0.662322,0.94375,0.18866666666666668,0.33264033264033266
NSGA-II₄,0.8739101274312542,0.040284,0.013333333333333334,0.05405405405405406
SMS-EMOA,0.9738430583501007,0.9828125,0.106635,0.9313929313929314
GrEA,0.9637826961770624,0.9515625,0.43666666666666665,0.190758
