alg,seed,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
nsga2_2,107.0,0.3148368192885125,0.004984423676012399,0.2079096045197739,44.0,9.0,44.0,0.33803153610537356,0.0327067669172932,0.05465221318879849,44.0,0.0,9.0,7.2785714285714285,44.0,3.0
nsga2_4,104.5,0.31709601590664044,0.08728448379996823,0.12150731170961519,29.659673588686804,8.072742426265908,29.659673588686804,0.3377772079732405,0.11816745483600741,0.08780108396642243,29.659673588686804,0.4865027704511048,9.162159081341496,17.655903864178715,29.659673588686804,2.3927516155397828
smsemoa,104.5,0.316583570815759,0.09671103137240813,0.0968885569815326,32.51602928920416,8.36797373328575,32.51602928920416,0.342336917446758,0.10697623695610689,0.08677069361267778,32.51602928920416,0.4956192346067098,9.628124844017112,18.137962699125502,41.20310494926567,2.391746389374127
grea,104.5,0.3184663628302292,0.10848402000219401,0.09227969611693251,19.76534280713673,6.557543770950753,19.76534280713673,0.3528382158243907,0.09209803197108302,0.1254416301777558,19.76534280713673,0.44430378256691816,8.349508041815008,21.12134999463976,19.78414118136005,3.517457091842057
