-,NSGA-II₂,NSGA-II₄,SMS-EMOA,GrEA
NSGA-II₂,0.055917,0.4045393858477971,0.188,0.11458333333333333
NSGA-II₄,0.4342105263157895,0.044213,0.226,0.21041666666666667
SMS-EMOA,0.7406015037593985,0.9012016021361816,0.507152,0.5947916666666667
GrEA,0.39849624060150374,0.7336448598130841,0.3453333333333333,0.392718
