Quality Measures,NSGA-II,SMS-EMOA,GrEA,General PF
Mean solutions,150.0,150.0,150.0,-
Proportion,0.170695,0.438066,0.391239,-
Hypervolume,0.6683225807153315,0.6765513018046043,0.6708254873601104,0.676469
Spacing,0.025732518444911548,0.028475120846675223,0.018565792376804474,0.021872
Maximum spread,1.0338284035958034,1.2271422527796862,0.8306590703344771,1.257806
Overall PF spread,0.6219148808932132,0.8109187217006443,0.23585986504812112,-
Error ratio,0.5607142857142857,0.1842818428184282,0.2806539509536785,-
GD,0.007599577106127688,0.0034234307738162145,0.003447921628636833,-
Inverted GD,0.005646033779457583,0.003742914729888778,0.005262889768331468,-
