Measures,error_val,dem_fpr_val,error_tst,dem_fpr_tst,dem_ppv_val,num_leaves,dem_ppv_tst
Min,0.3147711152158883,0.0002021521428127,0.2995723512652464,0.0008079042169951,0.0253456221198156,14.0,0.0655607214573873
Q1,0.3177117607789869,0.0153635628537662,0.3058370518886454,0.0021455816910362,0.0299707602339181,42.0,0.0938873697691322
Q2,0.3449733506298469,0.0375458183407875,0.3381291498242477,0.0229060507797851,0.0922098569157392,80.0,0.1243837462106133
Q3,0.3592454722264839,0.1233984598311867,0.3480232391018577,0.0579571943208306,0.095997177496953,92.0,0.1568452380952381
Max,0.3724690641897812,0.1333860174193765,0.3768920591263928,0.0850550964187328,0.1043455633619568,124.0,0.1695075757575757
