Quality Measures,NSGA-II,SMS-EMOA,GrEA,General PF
Mean solutions,150.0,31.9,150.0,-
Proportion,0.194954,0.153670,0.651376,-
Hypervolume,0.3535260703420149,0.3535260703420149,0.3535260703420149,0.353526
Spacing,0.18784193260172424,0.17765327691313143,0.14150757145279252,0.164348
Maximum spread,1.3774583139760834,1.4049633514745972,1.3774583139760834,1.404963
Overall PF spread,0.875,1.0,0.875,-
Error ratio,0.0,0.0,0.0,-
GD,0.0,0.0,0.0,-
Inverted GD,0.002402830246776151,0.0023085646279397223,0.002402830246776151,-
