Quality Measures,NSGA-II,SMS-EMOA,GrEA,General PF
Mean solutions,150.0,150.0,150.0,-
Proportion,0.111382,0.476423,0.412195,-
Hypervolume,0.8190477608548955,0.8249430963074491,0.8163889235549282,0.824915
Spacing,0.02287256706190233,0.02117306915656382,0.01618296187430234,0.017854
Maximum spread,1.4379391644465016,1.1035661831441446,1.2531830780928477,1.484019
Overall PF spread,0.9301926297790141,0.13864643093251014,0.5340463798941367,-
Error ratio,0.6432038834951457,0.1158989598811293,0.25073746312684364,-
GD,0.006819511073186714,0.0016738366061458925,0.002321809610014262,-
Inverted GD,0.00399615510191933,0.0034500823371271224,0.003209428968474356,-
