Measures,error_val,dem_fpr_val,dem_ppv_val,num_leaves,error_tst,dem_fpr_tst,dem_ppv_tst
Min,0.1713698632204745,2.0801992764868773e-05,0.0,7.0,0.1749788753731984,4.897678660894384e-05,0.0002702702702702
Q1,0.2019322829366939,0.007211738780559575,0.0117543443650283,29.0,0.2060036954624323,0.006538841227772926,0.0381618381618381
Q2,0.2578944803909237,0.0234923888587591,0.035722385642665694,50.0,0.2588868504185533,0.019399511771858252,0.0581717451523545
Q3,0.3348771104271763,0.0445364061288614,0.06553791698860725,80.0,0.32674833166936285,0.04513762298138103,0.076992175023954
Max,0.5900390202428286,1.0,0.1420845167151943,481.0,0.5791114914503994,1.0,0.1634135153483422
