Measures,error_val,dem_fpr_val,dem_ppv_val,num_leaves,error_tst,dem_fpr_tst,dem_ppv_tst
Min,0.2417124555948449,0.0010593220338983,0.0,2.0,0.2660015368667663,0.0002337540906965,0.0
Q1,0.31053643065448994,0.0476190476190476,0.02997198879551815,6.0,0.29487127922725376,0.009105960264900625,0.0179159507445589
Q2,0.33905898567936715,0.11643734856351676,0.06330128205128205,13.0,0.3083255785610072,0.05774386903419155,0.048341275659824004
Q3,0.4017278156821962,0.16172671824845733,0.1103896643403124,24.25,0.3379260529589756,0.12693421686227438,0.12095202398800597
Max,0.5948125714301928,0.4652173913043478,0.3166666666666666,71.0,0.5825452089366375,0.3236263736263736,0.2360248447204969
