Measures,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst
Min,0.2814805681349169,0.0,0.0,0.0,0.2833684968142905,0.000139399315676,0.0117241379310344,0.0012406947890819
Q1,0.2968068955368903,0.0023983274821506,0.0087910944652517,0.00321351267311135,0.3282220978455377,0.0124916387959866,0.0969089390142021,0.0281353993717425
Q2,0.3145776783742279,0.0072107609167291,0.023090786213111,0.0055664017105936,0.3322686659109309,0.0308771929824561,0.1229090909090909,0.0401365432985986
Q3,0.33167462781687207,0.048013885053844,0.0508795262622235,0.0430553618742155,0.35206664472007976,0.0601923076923077,0.1384171494762074,0.07716167834845455
Max,0.7395903801880324,0.2416251556662516,0.2074690865576386,0.2869063768382253,0.7595409774864594,0.2012829518495447,0.2916666666666666,0.2323920596293065
