Quality Measures,NSGA-II,SMS-EMOA,GrEA,General PF
Mean solutions,150.0,150.0,150.0,-
Proportion,0.009434,0.547170,0.443396,-
Hypervolume,0.19127416594841437,0.7213584243148621,0.7170640284507882,0.720206
Spacing,,0.2042240270371404,0.018100911434794763,0.280572
Maximum spread,0.0,1.300469107464803,0.627380272799185,1.287366
Overall PF spread,0.0,1.0003982893836614,0.13104310009339046,-
Error ratio,0.0,0.722488038277512,0.6748768472906403,-
GD,0.0,0.00887282289209369,0.008326132795761661,-
Inverted GD,0.06835681051465188,0.0075599645891234,0.027492492638224536,-
