-,NSGA-II₂,NSGA-II₄,SMS-EMOA,GrEA
NSGA-II₂,0.150307,0.4541128484024473,0.22933333333333333,0.16544117647058823
NSGA-II₄,0.3776824034334764,0.058282,0.39466666666666667,0.5318627450980392
SMS-EMOA,0.592274678111588,0.9231815091774304,0.472393,0.8075980392156863
GrEA,0.5150214592274678,0.7987763426240653,0.52,0.319018
