-,NSGA-II₂,NSGA-II₄,SMS-EMOA,GrEA
NSGA-II₂,0.969993,0.75,0.5904505716207128,0.6579925650557621
NSGA-II₄,0.004739336492890996,0.000652,0.0026899798251513113,0.0
SMS-EMOA,0.97291807718348,0.0,0.013046,0.9535315985130112
GrEA,0.965470548408937,0.0,0.784801613987895,0.016308
