Quality Measures,NSGA-II,SMS-EMOA,GrEA,General PF
Mean solutions,150.0,-47,-47,-
Proportion,1.0,-47,-47,-
Hypervolume,0.7244496748778548,-47,-47,0.716973
Spacing,0.0009259939008788777,-47,-47,0.0
Maximum spread,0.05684043154932594,-47,-47,0.034997
Overall PF spread,1.7725751653701025,-47,-47,-
Error ratio,0.6,-47,-47,-
GD,0.04182375104935017,-47,-47,-
Inverted GD,0.0,-47,-47,-
