Measures,error_val,dem_fpr_val,error_tst,dem_fpr_tst,dem_ppv_val,dem_pnr_val,dem_ppv_tst,dem_pnr_tst
Min,0.2969826612652169,0.0,0.3303078601409042,0.0243651622961967,0.0041403191809695,0.038020693961288,0.0305740078351218,0.0200812807205426
Q1,0.30386227819754524,0.0024303079165245,0.33223839542965905,0.06052850453285917,0.03293094624993225,0.04353324173735757,0.04081454102396542,0.08711586779407596
Q2,0.3076105548711541,0.05054831984107315,0.3423679567476431,0.09357461836206535,0.0586295818758368,0.08737956373872789,0.053425361112151896,0.13050023262562904
Q3,0.3270537501311943,0.11566463024392706,0.3569621345254681,0.12612550958763316,0.08433834238982862,0.15254657588780735,0.07475786897128964,0.16801387351687144
Max,0.3810181228228166,0.1690898335953674,0.3722865191937461,0.1608031840133805,0.1131593441230532,0.2220211941070043,0.1111634654729871,0.2174362887694726
