Measures,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst
Min,0.29867505056551,0.0,0.0,0.0,0.3069192170447286,0.0,0.0,0.0
Q1,0.3334720055483887,0.0007254700441327,0.0109415934658653,0.00110696706135245,0.3252536362963335,0.0017361111111111,0.0240670700958144,0.0019692087361259
Q2,0.3568350061141899,0.0055063424628641,0.0233990147783251,0.0066871256744047,0.3375583120246548,0.0112986270022883,0.060496509638944,0.03812893081761
Q3,0.45211834774375403,0.0344691358024691,0.0470588235294118,0.03678790567382595,0.4512183699617114,0.0506385122554925,0.0875064616179891,0.07041548203670189
Max,1.0,0.218901585720786,0.1015776466459765,0.2796493690690295,1.0,0.2094926350245499,0.1364914010150931,0.2701545253863134
