Quality Measures,NSGA-II,SMS-EMOA,GrEA,General PF
Mean solutions,150.0,-47,-47,-
Proportion,1.0,-47,-47,-
Hypervolume,0.8111926026648735,-47,-47,0.80717
Spacing,0.040220732412891945,-47,-47,0.0
Maximum spread,0.5330356564290324,-47,-47,0.079625
Overall PF spread,1.0733062992047244,-47,-47,-
Error ratio,0.6,-47,-47,-
GD,0.18779462374484698,-47,-47,-
Inverted GD,0.0,-47,-47,-
