Measures,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst
Min,0.1844279993495007,0.0,0.0,0.0,0.263484191322793,0.0,0.0,0.0
Q1,0.21364840600073684,0.00400609639740075,0.0019828216374267998,0.0040064102564102,0.30715318607252184,0.03530219780219775,0.04193965517241373,0.043794720795448105
Q2,0.25252160516359845,0.032732760394882654,0.0252140572541073,0.0584935897435897,0.32937327216699797,0.09525641025641021,0.08417475320971529,0.11966378255318455
Q3,0.30972691067092717,0.08592011570983528,0.09286118293471228,0.1408991228070175,0.3803202390574605,0.20229071149600952,0.16380336617405575,0.2680860805860806
Max,1.0,0.508695652173913,1.0,0.5252108070900017,1.0,0.4205794205794206,1.0,0.4212454212454212
