alg,seed,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst,max_iter,tol,lambda,l1_ratio,class_weight
nsga2_2,105.0,0.41443841933511527,0.5781440781440781,0.00812499999999995,0.5396634615384616,0.38489678271375677,0.491234221598878,0.16200057238227336,0.40367885965831674,97.0,0.0579747055751793,50684.26884949177,0.40927411581476036,1.5
nsga2_4,104.5,1.0,0.0,0.0,0.0,0.9667116290334411,0.0019230769230769201,0.0,0.005226456376331211,112.25,0.05196465313737227,50013.183309495544,0.5328466254713787,8.15
smsemoa,104.5,0.41443841933511527,0.09930496332433646,0.07201750629018377,0.1353474152494896,0.4176686212475184,0.08992818653778245,0.15313931447524864,0.10415378700730749,132.12517359198682,0.05246117805562861,40373.015239785316,0.48813126200507007,5.933339043659741
grea,104.5,0.41443841933511527,0.04230416408406764,0.028506825132832286,0.06797832305227336,0.43387385391006045,0.06798828036617612,0.20045761672670034,0.09783183124577283,111.87594354109221,0.05215664630968225,49165.92194989725,0.4917717813919561,5.139104614742314
