Measures,error_val,dem_fpr_val,dem_ppv_val,num_leaves,error_tst,dem_fpr_tst,dem_ppv_tst
Min,0.2961177666873209,0.0,0.0,2.0,0.2942932443155227,4.766816026902272e-05,0.0
Q1,0.35276775804638005,0.01444675847520265,0.032405613039415825,8.0,0.3599983874976498,0.012840506522694226,0.0277816909205162
Q2,0.4252625790062189,0.0376938132436381,0.0833333333333333,23.5,0.4314262245831594,0.0320164118853815,0.0532185613372225
Q3,0.5219724674773305,0.08215410992323235,0.16172607216751952,61.5,0.5475646074340785,0.06163157144626337,0.1122836550218672
Max,0.8094679065094876,0.1810087173100872,0.3888888888888888,330.0,0.8628511401030696,0.2276267599722557,1.0
