-,NSGA-II₂,NSGA-II₄,SMS-EMOA,GrEA
NSGA-II₂,0.077348,0.568561872909699,0.266,0.28991971454058874
NSGA-II₄,0.4618320610687023,0.055249,0.3373333333333333,0.42194469223907227
SMS-EMOA,0.648854961832061,0.9404682274247491,0.480663,0.6931311329170383
GrEA,0.5229007633587787,0.8969899665551839,0.5186666666666667,0.38674
