id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst,max_iter,tol,lambda,l1_ratio,class_weight
ARTW4H5UNP,104,crossover,0.11359473957208166,0.3,0.6,0.18333333333333335,0.25,0.16666666666666669,0.31818181818181823,0.06666666666666665,74,0.026874016704595906,33814.23952906059,0.25195904063474706,6
NHB54N3OY3,104,crossover,0.07417990022744858,0.2,0.5,0.2666666666666666,0.20943058495790523,0.06666666666666671,0.26262626262626265,0.13333333333333336,135,0.036540395520927346,61664.64904258033,0.9042230950135762,2
TG8N7XYLV5,104,crossover,0.15484574527148343,0.04999999999999999,0.4571428571428571,0.2833333333333334,0.2928932188134524,0.0,0.25,0.1333333333333333,81,0.020542416939108507,27292.95593291774,0.6342826506038295,6
5ZGXV6DQ6A,104,mutation,0.06458565330651467,0.0,0.0,0.33333333333333337,0.1339745962155613,0.4,0.4444444444444444,0.0,34,0.017781416130317335,43948.311360273205,0.956410750223591,9
UNTNAEHV2H,104,crossover,0.036375888340568485,0.1,0.33333333333333337,0.35,0.20943058495790523,0.06666666666666671,0.26262626262626265,0.13333333333333336,64,0.021182525127750575,93092.01660251606,0.35269567706120064,2
YSR4PGU6JO,104,crossover,0.0,0.0,0.0,0.43333333333333335,0.20943058495790523,0.06666666666666671,0.26262626262626265,0.13333333333333336,141,0.09445050611708168,71107.84610435227,0.20141382762142446,3
2DNHEFJST7,104,crossover,0.0,0.0,0.0,0.43333333333333335,0.20943058495790523,0.06666666666666671,0.26262626262626265,0.13333333333333336,53,0.013236656055425575,80388.9543393385,0.24885890594832893,3
D3RTN8VSQI,104,mutation,0.0,0.0,0.0,0.43333333333333335,0.20943058495790523,0.06666666666666671,0.26262626262626265,0.13333333333333336,151,0.08894893077264926,888.1403742625607,0.1072851373832242,3
ML4R6QM36R,104,crossover,0.0,0.0,0.0,0.43333333333333335,0.17084380241115005,0.033333333333333326,0.19318181818181823,0.2,100,0.0032284741462712575,2596.6803119593387,0.8634246924267364,6
A7667IY0C7,104,mutation,0.0,0.0,0.0,0.43333333333333335,0.17084380241115005,0.033333333333333326,0.19318181818181823,0.2,82,0.008783411199350638,92665.06937625514,0.8252198300008942,9
76KUWBVSF4,104,crossover,0.0,0.0,0.0,0.43333333333333335,0.20943058495790523,0.06666666666666671,0.26262626262626265,0.13333333333333336,186,0.006818968575034735,1561.425536716859,0.6217776359210018,6
5GIZDFN10A,104,crossover,0.0,0.0,0.0,0.43333333333333335,0.20943058495790523,0.06666666666666671,0.26262626262626265,0.13333333333333336,146,0.004643234062367258,47135.70537815962,0.37667981311571885,1
