id,algorithm,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst,max_iter,tol,lambda,l1_ratio,class_weight
C1DF02KZ2M,nsga2,100,crossover,0.2248455704136258,0.1391394633182201,0.0009848773668826,0.1907762931408974,0.2217680104671947,0.1247070754659259,0.0194360726006295,0.1713889111561607,156,0.0068307255532497,46660.28330482968,0.4499576655977419,2.0
L66GZ2MIH3,nsga2,100,crossover,0.2238771456245049,0.0781755154574693,0.0696475115054703,0.1231280629058606,0.2279862748266191,0.0654185379165188,0.0952238777012614,0.1134539902897524,149,0.0450409317179477,53791.1391854209,0.4837059988626004,3.0
82PSJJL9P9,nsga2,100,mutation,0.238940638612553,0.0814137169925138,0.0484107087880671,0.1314715109432351,0.2295289095800732,0.0721167965834138,0.0572025755135621,0.117470187878899,150,0.0061440500640939,49564.69765628462,0.4823612781666599,2.0
JD8Z49KB8X,nsga2,100,crossover,0.2271390694235553,0.1360882080677398,0.0067106710671066,0.1856990844723307,0.2224792602348694,0.1270007586974877,0.007108971499589,0.1717684742433125,130,0.006235670684457,47552.57970042653,0.5602493376145798,2.0
0K2FR9B02F,nsga2,100,mutation,0.2337736089379934,0.1126820467629799,0.0120256008926219,0.1638132591942015,0.2264075693929349,0.1068899215604694,0.0185969524365902,0.1541076838828627,152,0.0067593795666159,48696.74695484014,0.4569803774914009,2.0
NAISDQXHJ5,nsga2,100,crossover,0.2313632233672546,0.0881052125349916,0.0618892978973538,0.1379313014462807,0.2269862298214227,0.079472032207932,0.0685644298528223,0.1256181180045219,132,0.0059596644686936,50156.12315877039,0.4679201983139365,2.0
JRGFWX7S1N,nsga2,100,mutation,0.2200963472247151,0.084150846887518,0.0621512200459569,0.1276596797072513,0.2259130687527543,0.0672296222420734,0.0900614770850706,0.1127162326480272,156,0.0066589357206436,44075.53812851657,0.4441522419042856,2.0
2WBK633OWB,nsga2,100,crossover,0.2396978008265214,0.0113199797625434,0.1444565368406428,0.0312671236706439,0.2327124139713742,0.0321597486508645,0.1685710367761123,0.017617208212084,121,0.0059421199599831,42825.069180393904,0.4414188058719791,2.0
HRRJE0A3J5,nsga2,100,mutation,0.2864646027604044,0.0454609581101329,0.0244506118739247,0.0977996540212077,0.2927729757586663,0.0501826380645871,0.0037291116974494,0.0923219602839865,116,0.0059434136741364,33010.91096477109,0.3863371681249206,2.0
Z8IH1XGBP8,nsga2,100,mutation,0.2369662327866155,0.0044512674819099,0.1336037071830176,0.0474778903035616,0.2313054490662616,0.0147188842252107,0.161675323441963,0.0368634953993669,121,0.0061629101121681,37560.46845880164,0.4610657524614089,2.0
