id,algorithm,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
1X7IHHXQQM,nsga2,100,crossover,0.7864104566812403,0.0005175983436853,1.0,13,6,13,0.8442247428739024,0.0005180934162282,1.0,13,1,10,28,13,7.0
1KRLRQM6L4,nsga2,100,crossover,0.7011522797964445,0.0108695652173913,0.2733333333333333,25,7,25,0.676270213580445,0.0028295871194006,0.286096256684492,25,1,9,28,25,5.0
6J7K0VZ6GU,nsga2,100,crossover,0.5032920736053652,0.0222567287784679,0.0760752688172043,236,16,236,0.5416993000354718,3.98533397098777e-05,0.2144364710848459,236,1,16,11,236,5.0
ELCIFC8NCZ,nsga2,100,crossover,0.4410510392697692,0.041407867494824,0.1933823529411764,30,8,30,0.4743306303210715,0.0274988043998087,0.25997150997151,30,0,9,27,30,4.0
1U8PKMGSID,nsga2,100,crossover,0.4745128538299815,0.0227743271221532,0.2276581865622961,44,9,44,0.4669567060002177,0.0123146819703491,0.2338935574229692,44,0,9,21,44,4.0
ZK2AUY0NHM,nsga2,100,crossover,0.7864104566812403,0.0005175983436853,1.0,13,6,13,0.8442247428739024,0.0005180934162282,1.0,13,1,10,32,13,7.0
CH33FZAKLZ,nsga2,100,crossover,0.4442269113425036,0.0295031055900621,0.2025450689289502,48,8,48,0.4651174882649591,0.0123545353100589,0.2868686868686868,48,0,8,18,48,4.0
I3UXKGKRF3,nsga2,100,mutation,0.4029359059615571,0.0584886128364389,0.1131578947368421,20,6,20,0.4530292084431384,0.0357085923800414,0.2102754237288135,20,0,13,24,20,4.0
N2XXIPTMQJ,nsga2,101,mutation,0.9179668461339446,1.0,1.0,6,3,6,0.8587939517123211,0.0004808858888668,1.0,6,0,3,19,216,8.0
KHQ2LD19LW,nsga2,101,mutation,0.3504713086059056,0.1144492131616595,0.0469551282051282,16,4,16,0.3387768725000835,0.0937462775461584,0.0399560117302053,16,0,4,21,150,2.0
LK8CIF8ZMS,nsga2,101,mutation,0.3624279316444305,0.0887292405299496,0.0305522914218566,29,5,29,0.3567324790973231,0.0606004455915117,0.0448152233866519,29,0,5,21,134,2.0
Y63UM48X0C,nsga2,101,mutation,0.3354066868580823,0.0762113578403931,0.0198624904507257,40,9,40,0.3527637160184611,0.0565195332318619,0.0629387557492132,40,0,9,19,40,2.0
LTY4NZ0C1V,nsga2,101,mutation,0.7297738981235276,0.0105896622504198,1.0,14,4,14,0.6947634176630288,0.0088456532768623,0.0727969348659004,14,0,4,22,60,5.0
AV6Q19PGM6,nsga2,101,mutation,0.7562428027523617,0.0191733532375443,0.0666666666666667,11,4,11,0.6868338742578098,0.0131956852623916,0.0161290322580645,11,0,4,29,77,6.0
Z09LSK9XZI,nsga2,102,mutation,0.6107178946636412,0.0119891443167305,0.1239316239316239,14,6,14,0.6337806181792816,0.0201284163392894,0.0121951219512195,14,0,15,12,14,6.0
592I80PPKG,nsga2,103,crossover,0.3127067189355293,0.127803746174799,0.0274725274725274,13,5,13,0.296924222165138,0.0850550964187328,0.0940089983424106,13,0,7,15,13,2.0
QXK3Q09H3Z,nsga2,103,crossover,0.8149541753141302,0.001025658270841,1.0,9,4,9,0.813018599149882,0.0009006145369781,0.0555555555555555,9,0,13,6,9,7.0
EUPPPXN33H,nsga2,103,inicialization,0.3266286227117255,0.1091569425295087,0.0564050972501676,6,4,6,0.2957376199586904,0.0767906336088154,0.1130993573900148,6,1,5,19,6,2.0
MRKQPSZRVC,nsga2,103,mutation,0.3127067189355293,0.127803746174799,0.0274725274725274,13,5,13,0.296924222165138,0.0850550964187328,0.0940089983424106,13,0,6,14,13,2.0
V5VPZ2AA4F,nsga2,103,crossover,0.6420581174012919,0.0003026532602481,0.3155080213903743,63,14,63,0.6440757911703672,0.0132178427632973,0.0476190476190476,63,0,14,10,63,8.0
BR0ITFU1SQ,nsga2,103,crossover,0.7621169910465283,0.000151326630124,0.3625,13,6,13,0.7003155727983259,0.0068605636787454,0.0357142857142857,13,0,15,5,13,8.0
BSETHRTBJ1,nsga2,103,crossover,0.3177117607789869,0.1233984598311867,0.0253456221198156,12,4,12,0.2995723512652464,0.0850550964187328,0.0917917034421889,12,0,4,18,12,2.0
YVQAY2851E,nsga2,103,crossover,0.3322846653999146,0.1049029828160204,0.0532718894009216,53,8,53,0.3215942937960067,0.0692281203644839,0.1157304925290536,53,1,8,10,53,2.0
33Y1TNJSV6,nsga2,103,crossover,0.3160725957540822,0.1257524296331169,0.0393551446183025,36,6,36,0.3115964951581391,0.0552023733841915,0.1220429121584449,36,0,6,13,36,2.0
SKAOLN7T1M,nsga2,103,crossover,0.328598334456987,0.1107710932508323,0.0258777545656715,42,7,42,0.3234091353119327,0.0616656071201525,0.1100283364434308,42,0,7,13,42,2.0
X6JCF2PPA6,nsga2,103,mutation,0.3367292553923313,0.1153277062245687,0.0173417414504001,54,8,54,0.3188231700923238,0.0398257045984318,0.1287430465143804,54,0,8,12,54,2.0
G7XUWVVRZS,nsga2,103,crossover,0.3295674015950257,0.1210444900292564,0.0259908536585365,17,7,17,0.3014393027799884,0.0729365331638059,0.1036263736263736,17,0,7,14,17,2.0
RN9ECWYFBG,nsga2,103,crossover,0.3513334316007653,0.0810942596764973,0.0614446529080675,23,7,23,0.3170316964193844,0.0921805467260012,0.0768154367358963,23,0,8,15,23,3.0
