id,algorithm,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst,max_iter,tol,lambda,l1_ratio,class_weight
ANG0HXOSNI,nsga2,106,inicialization,0.0,0.0,0.0,0.4499999999999999,0.0317541634481457,0.0,0.0,0.0717703349282296,135,0.0068866858023387,73531.95193768996,0.3071497505282515,8.0
CBOYCTJ2OZ,nsga2,106,crossover,0.0,0.0,0.0,0.4499999999999999,0.0317541634481457,0.0,0.0,0.0717703349282296,121,0.0270382616723572,68620.51133855917,0.4187988816084558,4.0
UJOCZBILMH,nsga2,106,crossover,0.0425728922436619,0.0,0.0,0.3666666666666666,0.0317541634481457,0.0,0.0,0.0717703349282296,103,0.0281727331755442,81275.11890879768,0.5801008717026517,6.0
MFJS1QKOZC,nsga2,106,mutation,0.0917048937707525,0.1428571428571428,0.25,0.2666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,67,0.0248677229878434,88190.26321945345,0.8022482734335337,6.0
69KI3DZCI6,nsga2,106,crossover,0.1436511614223247,0.2857142857142857,0.4,0.1666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,59,0.0287398879586851,90439.49435392657,0.9044249609498868,6.0
2BINOQ4Y06,nsga2,106,inicialization,0.1055728090000841,0.2857142857142857,0.4,0.25,0.0317541634481457,0.0,0.0,0.0717703349282296,180,0.0053109770659578,96703.38845585092,0.5254170124680921,4.0
OQJ6F4HJE8,nsga2,106,mutation,0.0425728922436619,0.0,0.0,0.3666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,42,0.0354859005456488,34911.077796225865,0.5992603609583406,6.0
OUVAMWM9MU,nsga2,106,crossover,0.0917048937707525,0.1428571428571428,0.25,0.2666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,68,0.0249030142367459,89880.70019302223,0.8073271794279161,6.0
IQGZQSXJ88,nsga2,105,crossover,0.1679497056621564,0.3636363636363636,0.5714285714285714,0.25,0.0392310771694771,0.1111111111111111,0.0909090909090909,0.0574162679425837,97,0.0039205614527539,11638.32357713104,0.6601178369206544,5.0
4CMH757YYN,nsga2,105,crossover,0.1679497056621564,0.3636363636363636,0.5714285714285714,0.25,0.0392310771694771,0.1111111111111111,0.0909090909090909,0.0574162679425837,98,0.0023512910995053,5766.555327139903,0.7340574617224966,5.0
I04WNXE30T,nsga2,105,mutation,0.0801337889922001,0.1818181818181818,0.4,0.3928571428571429,0.0,0.0,0.0,0.1100478468899521,114,0.0337575765576404,40972.4746770663,0.3623014755163344,6.0
O8KFFZQC51,nsga2,105,crossover,0.0801337889922001,0.1818181818181818,0.4,0.3928571428571429,0.0,0.0,0.0,0.1100478468899521,92,0.0148381299200017,35009.86577468457,0.443174371921488,5.0
TZWM8VHEIG,nsga2,105,mutation,0.1679497056621564,0.3636363636363636,0.5714285714285714,0.25,0.0392310771694771,0.1111111111111111,0.0909090909090909,0.0574162679425837,116,0.0096106424256043,19627.069486938664,0.5305788864941445,5.0
Y7XKVGG08T,nsga2,105,crossover,0.1679497056621564,0.3636363636363636,0.5714285714285714,0.25,0.0392310771694771,0.1111111111111111,0.0909090909090909,0.0574162679425837,98,0.0016713931756309,3510.071673245529,0.7620890137510946,5.0
60YXP2G90A,nsga2,105,crossover,0.1679497056621564,0.3636363636363636,0.5714285714285714,0.25,0.0392310771694771,0.1111111111111111,0.0909090909090909,0.0574162679425837,97,0.0026892615941878,7288.573177941037,0.6938847370296688,5.0
2TWBW1M3E8,nsga2,105,crossover,0.1229419806929708,0.2727272727272727,0.5,0.3214285714285714,0.0392310771694771,0.1111111111111111,0.0909090909090909,0.0574162679425837,101,0.0115759310823367,21683.80866910165,0.4235613462141429,5.0
6RON0LZUI3,nsga2,106,crossover,0.0425728922436619,0.0,0.0,0.3666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,69,0.0378527491834607,42908.09770205688,0.6314929383420718,6.0
UH7BRLVUAL,nsga2,106,mutation,0.0917048937707525,0.1428571428571428,0.25,0.2666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,93,0.0336084065002832,76540.96614038454,0.8462572081188788,6.0
Z6YWEMXCVH,nsga2,106,crossover,0.1436511614223247,0.2857142857142857,0.4,0.1666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,118,0.0313069870400322,83147.27574146031,0.9145435960698032,6.0
RQOV6L9HMT,nsga2,106,crossover,0.0425728922436619,0.0,0.0,0.3666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,89,0.0354241588015836,69881.19117882005,0.8102867308977328,6.0
NUACJVG4VS,nsga2,106,crossover,0.0917048937707525,0.1428571428571428,0.25,0.2666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,98,0.0312440677143004,81101.97119064906,0.8684552285405107,6.0
FQHDX2ZHBO,nsga2,106,crossover,0.1436511614223247,0.2857142857142857,0.4,0.1666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,117,0.0322373047263461,83717.03148673184,0.9119498379114724,6.0
QCWHMAK4IV,smsemoa,105,crossover,0.1679497056621564,0.3636363636363636,0.5714285714285714,0.25,0.0392310771694771,0.1111111111111111,0.0909090909090909,0.0574162679425837,160,0.0053400016387885,20506.75905041602,0.1781622621976143,4.0
GU4ZNHU1PC,smsemoa,105,mutation,0.1229419806929708,0.2727272727272727,0.5,0.3214285714285714,0.0392310771694771,0.1111111111111111,0.0909090909090909,0.0574162679425837,196,0.0096327388011714,50064.96443800449,0.3628348742084878,3.0
S3AR5PXARU,smsemoa,105,mutation,0.0801337889922001,0.1818181818181818,0.4,0.3928571428571429,0.0,0.0,0.0,0.1100478468899521,61,0.0129086907624067,81783.34562871156,0.4501178028906837,7.0
T8MXLUI8V1,smsemoa,105,mutation,0.0801337889922001,0.1818181818181818,0.4,0.3928571428571429,0.0,0.0,0.0,0.1100478468899521,83,0.0095242747180621,23736.52239585732,0.1325117149324095,4.0
ZNSQB6CYGE,smsemoa,105,crossover,0.0392310771694771,0.0909090909090909,0.25,0.4642857142857143,0.0,0.0,0.0,0.1100478468899521,112,0.0031222776702439,33532.76922892122,0.8137563586079997,5.0
BO6E2RPIGU,smsemoa,105,mutation,0.0,0.0,0.0,0.5357142857142857,0.0,0.0,0.0,0.1100478468899521,189,0.0080243873371888,36379.128112897546,0.5804670302794196,6.0
X0ZX5KXNXP,smsemoa,105,crossover,0.0,0.0,0.0,0.5357142857142857,0.0,0.0,0.0,0.1100478468899521,188,0.0071553355380019,68870.3090881554,0.5608583983762175,5.0
VC9RPC7K5E,smsemoa,106,mutation,0.198959010620139,0.4285714285714285,0.5,0.0666666666666667,0.0645856533065146,0.0,0.0,0.0191387559808612,39,0.0235776123352282,53840.33334635335,0.3055059768863041,6.0
Q65IL6CHI7,smsemoa,106,crossover,0.1436511614223247,0.2857142857142857,0.4,0.1666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,28,0.0215495347357742,65626.97558573884,0.9237957486288844,6.0
O53VKL4WIH,smsemoa,106,mutation,0.0917048937707525,0.1428571428571428,0.25,0.2666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,50,0.0362629002155135,65692.035380517,0.9481373140268136,6.0
HZ91RRMZZM,smsemoa,106,crossover,0.0425728922436619,0.0,0.0,0.3666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,141,0.0261129893582222,76992.8273306731,0.5628787557469295,7.0
VFOGEEDUR5,smsemoa,106,crossover,0.0425728922436619,0.0,0.0,0.3666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,135,0.0357269501876483,48846.21759993352,0.323317475907061,6.0
FZ6L3O21RN,smsemoa,106,crossover,0.0425728922436619,0.0,0.0,0.3666666666666666,0.0645856533065146,0.0,0.0,0.0191387559808612,110,0.0374323534743542,27463.89955962462,0.4196108845286657,6.0
