id,seed,creation_mode,gmean_inv,dem_fpr,dem_ppv,num_leaves,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight
J33LZW16H8,100,inicialization,0.05131670194948623,1.0,0.0,6,4,6,0,,2,,
HF3QDNVOTN,100,inicialization,0.05131670194948623,1.0,0.0,6,4,6,1,4,2,6,
LJMWX0NZ39,100,inicialization,0.0425728922436619,1.0,0.16666666666666663,4,3,4,0,4,16,5,6
LAZJKMKBP2,100,inicialization,0.0425728922436619,1.0,0.16666666666666663,4,3,4,1,4,17,4,7
DP6SV7V8X4,100,inicialization,0.0425728922436619,1.0,0.16666666666666663,3,2,3,0,3,6,3,4
P165QJDUKD,100,inicialization,0.10557280900008414,1.0,0.0,2,1,2,1,4,7,2,6
OT7NWV3AH4,100,inicialization,0.0425728922436619,1.0,0.16666666666666663,3,2,3,0,4,29,3,4
GZJ48C2KD4,100,inicialization,0.2928932188134524,0.2222222222222222,0.15873015873015872,3,2,3,1,3,10,3,2
INFHQEZC81,100,inicialization,0.0425728922436619,1.0,0.16666666666666663,3,2,3,0,3,19,3,6
Q0JN0ERZQG,100,inicialization,0.0425728922436619,1.0,0.16666666666666663,3,2,3,0,4,17,3,3
TCB9SOZAFO,100,inicialization,0.05131670194948623,1.0,0.0,5,4,5,0,4,26,5,8
WU2CLFBW9J,100,inicialization,0.10557280900008414,1.0,0.0,2,1,2,0,4,28,2,4
ZLYY2MNK9R,100,inicialization,0.05131670194948623,1.0,0.0,4,3,4,0,3,30,4,8
6HTIHODZ31,100,inicialization,0.10557280900008414,1.0,0.0,2,1,2,1,4,5,2,5
BJ4GFSG9JI,100,inicialization,0.05131670194948623,1.0,0.0,5,3,5,1,4,8,6,4
YG5UH4SOWO,100,inicialization,0.1339745962155613,1.0,0.33333333333333337,4,3,4,0,3,21,4,2
D4W64N5D6Q,100,inicialization,0.0425728922436619,1.0,0.16666666666666663,3,2,3,0,4,39,5,7
CO3AHOXUHT,100,inicialization,0.0425728922436619,1.0,0.16666666666666663,4,3,4,0,3,35,4,6
UFKVJM1FFU,100,inicialization,0.10557280900008414,1.0,0.0,2,1,2,1,3,8,2,8
BN7K4C82WA,100,inicialization,0.0425728922436619,1.0,0.16666666666666663,3,2,3,0,3,40,3,4
NRQNSZZQVB,100,inicialization,0.10557280900008414,1.0,0.0,2,1,2,1,3,22,2,4
WHK4XN7PZB,100,inicialization,0.1339745962155613,1.0,0.33333333333333337,4,3,4,0,3,12,4,1
EWCQ3S8ZXU,100,inicialization,0.0425728922436619,1.0,0.16666666666666663,4,3,4,0,3,9,4,4
0P5G7NLEPF,100,inicialization,0.05131670194948623,1.0,0.0,4,3,4,0,4,13,4,9
V0CR4WVE6S,100,inicialization,0.0425728922436619,1.0,0.16666666666666663,4,3,4,1,4,16,6,4
CARF8GR148,100,inicialization,0.1339745962155613,1.0,0.33333333333333337,5,4,5,0,4,23,5,1
TLFF5N7FVJ,100,inicialization,0.1339745962155613,0.2222222222222222,0.033333333333333326,4,3,4,1,4,17,6,2
1PF2XAS1A2,100,inicialization,0.0425728922436619,1.0,0.16666666666666663,4,3,4,1,4,33,5,5
