id,seed,creation_mode,gmean_inv,dem_fpr,max_iter,tol,lambda,l1_ratio,class_weight
DCKVR8QUIT,101,crossover,0.23433811849163488,0.19444444444444448,124,0.06076339154803923,41160.91478176952,0.6687571614332123,5
BLJYIHW9R9,101,crossover,0.23070074941224494,0.20299145299145302,134,0.05175384558546818,63664.75733946327,0.5510449208836676,6
Q42ERV9KWF,101,crossover,0.21863410019196006,0.21367521367521364,143,0.04888268691011204,61557.89596988114,0.5330779699129248,4
QJC1LREJZX,101,inicialization,0.20618050612010086,0.23824786324786323,181,0.056950022291883076,16633.060289460303,0.8438550373606448,5
9L3BGLIG3C,101,mutation,0.5874315014964826,0.0,115,0.011831493121114176,61397.871067628905,0.6250740662156182,7
7XY7XD38GS,101,crossover,0.46596168519101566,0.0010683760683760715,148,0.022870698022297367,45157.537229976435,0.48365983723681855,7
RDPN39T5N7,101,mutation,0.46596168519101566,0.0010683760683760715,172,0.015841208851685974,74536.08360229727,0.4528778829518964,7
4MBG26750V,101,crossover,0.40806690454282746,0.002136752136752143,125,0.05361460278051478,27093.778628873122,0.7881723182017658,3
F3VPHEUWWW,101,crossover,0.2863612837766628,0.013888888888888895,132,0.03858560208047185,57702.958618123084,0.3794525259703548,4
LLKWKOVN1G,101,mutation,0.2666515770376985,0.05769230769230771,138,0.05499779848748751,73454.0914879821,0.6527329672631541,4
9Z1AKVK6OE,101,crossover,0.2565359485252703,0.09294871794871795,124,0.062155242543005675,57745.43143066876,0.684805059123622,4
CEAZ5SL0Y7,101,mutation,0.2498679760083321,0.1121794871794872,149,0.022627080145282023,42418.697532685954,0.29532654734984676,4
3MLVL44WXE,101,crossover,0.23779484892891223,0.13675213675213674,152,0.042723817989960555,46015.99523482249,0.5745947245881371,5
7CBXN17GQL,101,inicialization,0.2367067610786342,0.19658119658119655,103,0.07319288194239723,13903.191551650281,0.7945072020388486,4
YEC50E0Q81,101,crossover,0.2367067610786342,0.19658119658119655,109,0.05699998334662006,39290.983634606644,0.5937844948024147,4
R4VQJM0ND9,101,crossover,0.23522549976121587,0.219017094017094,134,0.052482338539430184,57142.383887807766,0.5117875499017613,6
EMT4WYBRO6,101,crossover,0.2318785494149045,0.2297008547008547,110,0.050864703697992134,26883.725648361313,0.5065106791407795,4
