id,seed,creation_mode,gmean_inv,dem_fpr,dem_ppv,dem_pnr,max_iter,tol,lambda,l1_ratio,class_weight
2GB68DY4JW,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,118,0.013099044272540026,64682.51443295809,0.2795916722828037,5
LHR2H6IP99,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,112,0.012894702819573736,60999.68566043916,0.32341370091408167,5
7A66L3GMQG,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,110,0.014642380581436116,67777.6790707644,0.2777074548918199,5
CHK5UIX78F,100,mutation,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,119,0.014377352361152824,66432.15528519687,0.28762074732721254,5
VI6A6FEM7A,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,136,0.015284332175187558,65177.67589747295,0.3049849645030889,5
N53D8QL5R9,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,148,0.01306282477444648,44834.94163958457,0.3086164281188183,4
ME6K5TB7SF,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,121,0.014632444848428655,66266.82160944541,0.30400445043702146,5
EWATY16TKA,100,mutation,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,128,0.011557791239878386,46457.10878137544,0.33230694491486507,4
0FMR5VO98W,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,107,0.012412327470467296,58737.91366919095,0.3250497594662134,5
O6OB7NZ06G,100,mutation,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,108,0.013154129633916921,62065.19424195378,0.3328310617639981,5
9N3H229TD8,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,125,0.013015094037894932,63103.85999082258,0.2979032214889392,5
FJHK0SUJ0L,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,119,0.012160308473837866,56034.81447032451,0.3291669656456546,5
AWTHHNEBHM,100,mutation,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,116,0.010349201188505424,47706.21418574132,0.33219933236357696,4
WCHIT4CG8W,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,118,0.014198891831650112,65424.28949157845,0.3194888067204481,5
W5B9E0PAGT,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,114,0.013018108375768741,65321.24717626138,0.3310550694418062,5
X1WA10NHNU,100,mutation,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,108,0.014427215584907763,65645.21491451842,0.31179095499723675,5
5NJTVEUMCA,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,116,0.014701919280030415,66423.9531493039,0.3067879237186894,5
Y6VA21XRWF,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,110,0.015564851939925775,68194.54769500667,0.30449182454352836,5
APY8UUB8IG,100,crossover,0.1339745962155613,0.3333333333333333,0.375,0.05357142857142855,102,0.008547694035093823,30248.190148698224,0.3094066043939405,4
ENBJLMKEM5,100,mutation,0.3545027756320972,0.11111111111111105,0.2142857142857143,0.1607142857142857,54,0.07935443204993005,25886.967357294077,0.8945675373346361,1
DP6SV7V8X4,100,inicialization,0.0,0.0,0.0,0.2678571428571429,92,0.006288127350810667,10132.258457423273,0.29989959039916636,4
WDCJVQCLTM,100,crossover,0.1339745962155613,0.3333333333333333,0.375,0.05357142857142855,130,0.01123303682834069,42755.76894928769,0.29410630682686306,4
2WS3DG43PW,100,mutation,0.0,0.0,0.0,0.2678571428571429,132,0.012868142953069159,51747.814794053396,0.2982015268408025,4
9MANDZGGYJ,100,crossover,0.3545027756320972,0.11111111111111105,0.2142857142857143,0.1607142857142857,42,0.0839140724866543,1364.6237974547587,0.9133502452968361,1
97ETMSXA92,100,mutation,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,129,0.015344035029446871,68654.0768633629,0.2887000719943928,5
JZ99KSR97M,100,crossover,0.18350341907227397,0.0,0.20833333333333337,0.17857142857142855,124,0.013204464619330798,53401.37704449905,0.3129659117080114,4
EQSB0PKN12,100,mutation,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,115,0.014103149582512534,65823.53936167194,0.2349294888780978,5
5PL2CWSBHQ,100,crossover,0.1339745962155613,0.1111111111111111,0.11904761904761907,0.25,115,0.013879045731551028,65292.11775526656,0.27855733692165674,5
ZESA9LMC34,100,crossover,0.1339745962155613,0.1111111111111111,0.11904761904761907,0.25,111,0.012187807980847091,47077.55733827857,0.295247081967832,5
2660ULAOH1,100,crossover,0.0425728922436619,0.1111111111111111,0.16666666666666663,0.1964285714285714,113,0.013683336986716518,58032.260020214475,0.31219333196976673,4
2C9K58WH24,100,crossover,0.18350341907227397,0.0,0.20833333333333337,0.17857142857142855,113,0.011369879102554303,47007.861278083714,0.3114402028890509,4
ACGU0I29RQ,100,crossover,0.0425728922436619,0.1111111111111111,0.16666666666666663,0.1964285714285714,114,0.011958113495447306,58116.79738713643,0.3325451291471073,5
SW5NS6Q2BJ,100,crossover,0.1339745962155613,0.3333333333333333,0.375,0.05357142857142855,140,0.011256480922302395,52409.8306487885,0.2890801776681851,4
P9TPHNYBNF,100,mutation,0.1339745962155613,0.3333333333333333,0.375,0.05357142857142855,142,0.007310862198267368,25124.318727877842,0.2755319476013932,3
KPHIPGHPQ7,100,crossover,0.1339745962155613,0.3333333333333333,0.375,0.05357142857142855,149,0.007672055845126316,29741.75991734596,0.2652982279569006,3
YG9XTT67UB,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,120,0.012698503013562857,57412.323232564784,0.3085752344041677,5
I0XMU86RIJ,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,109,0.01288856721970371,59877.033662729234,0.319216170203811,5
HRC48RQVII,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,114,0.01406308160615839,64705.314105861165,0.31640826324601845,5
DILMOS0HQC,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,113,0.012855023466934349,58986.906705317175,0.31813008177946756,5
W4X2XH47BN,100,crossover,0.0871290708247231,0.2222222222222222,0.2857142857142857,0.125,115,0.01393904169149123,65073.195478728754,0.30847443836874755,5
