id,seed,creation_mode,gmean_inv,dem_fpr,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight
QLPGNT5Y26,107,inicialization,0.4692748823339812,0.02118380062305296,9,60,1,9,4,64,7
FTGOGEAADF,107,inicialization,0.5046164431920575,0.13582554517133957,5,14,1,5,4,14,4
ZQCI6Z1MO2,107,inicialization,0.46950893972912,0.1264797507788162,3,8,0,3,31,18,5
3CT0PCLXY1,107,inicialization,0.7867992836443896,1.0,5,7,0,5,23,7,9
D8Q8EJZN8R,107,inicialization,0.42050264170040896,0.21183800623052956,10,45,0,11,6,45,4
CUIFJA0DNZ,107,inicialization,0.4097791466427969,0.2485981308411216,7,14,0,7,23,14,1
AJJMB99FA5,107,inicialization,0.5691077199813944,1.0,2,4,0,11,8,4,4
IGHTIVUXLB,107,inicialization,0.336008846173639,0.20747663551401868,8,22,0,8,35,24,2
XDZ45ZU8NH,107,inicialization,0.3426822934741002,0.13146417445482866,6,11,1,11,22,11,2
L751RDTL10,107,inicialization,0.5432245461923416,0.13457943925233645,7,26,1,7,32,58,7
MD5GRQMPF9,107,inicialization,0.5072558263503533,0.0866043613707165,7,31,1,7,21,54,7
AOJQ3PIRXG,107,inicialization,0.35836228541261383,0.2274143302180685,5,17,1,5,40,101,3
PLRQNZNWB7,107,inicialization,0.7047318024324599,1.0,3,8,0,3,34,63,7
MGHI1FTDCW,107,inicialization,0.5282443398524277,0.01744548286604361,6,35,0,6,6,35,6
2E56IKN25X,107,inicialization,0.3437222789901445,0.17943925233644858,4,14,1,4,21,37,3
U9AD2734IV,107,inicialization,0.5219679354434862,0.0866043613707165,7,26,0,7,25,60,7
FX6E6P7CY6,107,inicialization,0.7022188362899582,1.0,7,9,0,12,15,9,9
5K0JE4UDIS,107,inicialization,0.38293034206649257,0.30218068535825543,9,31,0,9,21,31,2
E4I4D6VZVN,107,inicialization,0.6287131172134421,0.049221183800623056,11,25,0,11,35,35,8
T8B5NR1971,107,inicialization,0.3957428721131323,0.23177570093457947,10,19,0,12,5,19,4
0WC52WY3JK,107,inicialization,0.6352940469491072,1.0,4,13,1,4,10,93,6
VQJ5MABZWJ,107,inicialization,0.31302660957970585,0.1277258566978193,8,32,0,8,25,83,3
X0V0QUOT8V,107,inicialization,0.44974377101570595,0.2778816199376948,6,22,1,6,15,75,1
MIQO2RGZ5L,107,inicialization,0.3323715333373949,0.14641744548286603,7,33,0,7,16,40,3
HXNOEWUJVR,107,inicialization,0.4951797179801517,0.097196261682243,11,49,1,11,18,64,7
82R0WZHFTP,107,inicialization,0.3555618365986637,0.13831775700934584,8,32,1,8,30,60,3
WWVBIG77SM,107,inicialization,0.7281642323931189,0.12398753894080997,6,9,1,7,9,9,7
M2GQMIJ8IB,107,inicialization,0.5115593513406241,0.008099688473520245,7,34,0,7,18,79,6
U775Z5B86T,107,inicialization,0.7538170180413345,1.0,4,8,1,8,39,8,8
880L9NC38T,107,inicialization,0.7538170180413345,1.0,4,13,1,4,25,44,9
8H3ELCWU23,107,inicialization,0.6352940469491072,1.0,4,13,1,4,2,90,7
3X7MP8YIMG,107,inicialization,0.40799330034268566,0.09158878504672902,12,52,1,12,20,89,2
YTAAFMQT28,107,inicialization,0.5528419486343307,0.0866043613707165,9,37,1,9,23,78,8
88Y9OA82WZ,107,inicialization,0.4650793615696083,0.13707165109034267,6,25,1,6,27,56,4
NRIA5VW2K3,107,inicialization,0.7538170180413345,1.0,4,14,1,4,5,31,8
C2S4SYB56D,107,inicialization,0.32469579631755785,0.06479750778816201,4,14,0,4,7,100,3
22T9LLOW1Z,107,inicialization,0.4820653189541133,0.097196261682243,11,57,0,11,11,84,7
FGNSWQ2F0T,107,inicialization,0.3885916512655915,0.19813084112149532,6,27,1,6,14,62,2
6Z8UULPW3T,107,inicialization,0.6253831233483593,0.06791277258566979,5,13,0,5,35,15,8
J1Q2E1DRCE,107,inicialization,0.42383404030196814,0.16510903426791276,10,37,1,10,26,100,4
5BD41P3MSI,107,inicialization,0.4929704282912255,0.0866043613707165,7,35,1,7,14,43,6
9V1XAE0Q9U,107,inicialization,0.46950893972912,0.1264797507788162,3,8,0,3,39,54,4
AKW2IUX9QN,107,inicialization,0.42826989717011765,0.11838006230529594,11,48,1,11,19,79,3
YXDJJA3D0F,107,inicialization,0.47729162651068335,0.17445482866043613,4,14,0,4,31,62,4
GZJWR9ASX9,107,inicialization,0.47729162651068335,0.17445482866043613,5,19,1,5,30,30,4
QYTRWGFYRH,107,inicialization,0.32607650560021006,0.11277258566978193,4,13,0,4,28,26,3
PKT6NJ5N97,107,inicialization,0.5371474437548683,0.0866043613707165,7,27,1,7,30,86,7
9ZJ8NOUSIP,107,inicialization,0.7047318024324599,1.0,3,8,0,3,24,66,6
BI8BD9FOFK,107,inicialization,0.33976023864514227,0.19688473520249222,11,33,0,11,31,55,2
IQKKLLTE2R,107,inicialization,0.2790654351497446,0.03302180685358255,5,23,0,5,4,23,3
C6CC0V6E3P,107,inicialization,0.4209314226383627,0.022429906542056094,12,91,0,12,2,91,5
AQDDFTQQ30,107,inicialization,0.6383717893441168,1.0,4,13,0,4,32,52,7
1OJWWIIE5F,107,inicialization,0.335821832748208,0.08348909657320874,3,8,0,3,11,34,3
J34MSEFL3T,107,inicialization,0.42221967468430743,0.10093457943925238,11,67,1,11,7,83,2
A5GPLGE4CU,107,inicialization,0.6797138636459795,0.1146417445482866,6,24,1,6,25,100,9
TFABQLXBS5,107,inicialization,0.3957428721131323,0.23177570093457947,10,18,0,11,15,18,4
1HDI54VG3S,107,inicialization,0.5261429679369853,0.06791277258566979,10,40,0,10,22,84,7
5OZ7WFV15R,107,inicialization,0.6352940469491072,1.0,4,10,1,4,13,10,6
3AWNT1N0W9,107,inicialization,0.5691077199813944,1.0,2,3,0,10,29,3,5
K5C022VQHQ,107,inicialization,0.5509019913636306,0.09595015576323987,6,13,1,10,12,13,7
CIHFV9FHZ2,107,inicialization,0.47967299822806075,0.10654205607476637,6,23,1,6,31,74,5
KPC77SYFTN,107,inicialization,0.4149570860802858,0.07850467289719627,12,60,1,12,13,77,6
XVVNJ5PHWG,107,inicialization,0.28295190316522933,0.0809968847352025,5,18,0,5,20,75,3
PPJUX2G45H,107,inicialization,0.6253831233483593,0.06791277258566979,6,24,0,6,21,29,8
O25KKB69RX,107,inicialization,0.4267513550457551,0.1557632398753894,10,47,1,10,18,63,4
WT0609QC0T,107,inicialization,0.3835344241084385,0.11713395638629284,12,66,1,12,11,90,5
B94GU34DLD,107,inicialization,0.5691077199813944,1.0,3,6,1,9,22,6,6
RAZR8MAPKV,107,inicialization,0.47209042006214363,0.11713395638629284,5,8,0,6,25,8,4
I674MXJVE0,107,inicialization,0.4490670875515992,0.11838006230529594,7,32,0,7,20,44,4
SRUUWZFIQX,107,inicialization,0.4746845860313963,0.10778816199376948,3,6,1,11,18,6,4
L790R7XDJJ,107,inicialization,0.518086691241599,0.03987538940809969,11,36,1,11,10,36,9
BVMFJKO7UY,107,inicialization,0.5653769812753067,0.10529595015576323,5,18,0,5,18,18,6
9ESG7JWDQG,107,inicialization,0.6002049705489443,0.10529595015576323,7,29,1,7,23,76,9
HJ8KDMXFO5,107,inicialization,0.5219679354434862,0.0866043613707165,6,26,1,6,18,96,6
9HYXTG0S7X,107,inicialization,0.3440061975502672,0.2635514018691589,6,25,0,6,11,32,2
GIG9JA45IA,107,inicialization,0.5240508737376799,0.07725856697819314,6,15,1,11,29,15,5
BQPQR9ZWZ7,107,inicialization,0.4050635921721,0.1277258566978193,10,30,1,10,37,97,4
5D9L61XMB2,107,inicialization,0.44034465222239183,0.14641744548286603,7,38,0,7,13,50,4
G3CY5A45KS,107,inicialization,0.4162321538814018,0.1557632398753894,8,20,0,8,5,20,4
SUFRBPIQYM,107,inicialization,0.4793150981501323,0.1937694704049845,4,7,1,6,14,7,1
QMP1OGHNKK,107,inicialization,0.4512127809221961,0.005607476635514003,9,40,0,9,21,44,5
8F7S10C6CE,107,inicialization,0.7281642323931189,0.12398753894080997,6,10,1,8,8,10,7
UDDC0MGFKY,107,inicialization,0.6352940469491072,1.0,4,13,1,4,17,102,6
HOKN6DE4BP,107,inicialization,0.30816270157550296,0.11838006230529594,6,28,0,6,13,42,3
W2D8ERCNW5,107,inicialization,0.5118136812972891,0.1838006230529595,5,20,0,5,25,72,4
IJ37F54FUZ,107,inicialization,0.3549839514159753,0.0940809968847352,3,8,1,3,7,79,3
SZGOK72IOA,107,inicialization,0.5391642400860159,0.001246105919003121,5,17,0,5,4,17,5
HZP3GXKUW2,107,crossover,0.4162321538814018,0.003738317757009363,12,84,1,12,3,92,7
IQKKLLTE2R,107,inicialization,0.2790654351497446,0.03302180685358255,5,23,0,5,4,23,3
QJ8T5EWX91,107,crossover,0.27519980655542897,0.04236760124610592,5,22,0,5,9,65,3
98P268N0EY,107,mutation,0.4512127809221961,0.005607476635514003,9,40,0,9,20,42,5
RPUUOQO02O,107,crossover,0.4290306827404271,0.006853582554517124,10,56,1,10,7,56,6
C6CC0V6E3P,107,inicialization,0.4209314226383627,0.022429906542056094,12,91,0,12,2,91,5
JR8VFZNGQN,107,crossover,0.4182567267546452,0.030529595015576325,10,29,0,10,6,29,5
