id,seed,creation_mode,gmean_inv,dem_fpr,dem_ppv,dem_pnr,max_iter,tol,lambda,l1_ratio,class_weight
024A3A5GT9,102,crossover,0.3292722096587819,0.2838621444201313,0.03208908624158735,0.4116452251237396,120,0.04185642079399663,50214.56065391084,0.2771337350219843,7
AIT2C7XRZ0,102,crossover,0.3968513046574924,0.29699906220693967,0.04976454276328113,0.27758532172283334,57,0.04110283855232982,67867.3699450191,0.22346123726301498,4
BMFNJQWMAW,102,mutation,0.9195818782258659,0.0008049390434510784,0.09999999999999998,0.0009146508625631489,129,0.058997470215128814,67040.30634540506,0.5703599282383843,8
GXY90DDOBU,102,mutation,0.4220751996683971,0.11411378555798686,0.06642941874258601,0.21176784316853003,129,0.05095238182558517,62134.98185136278,0.7707135752436179,8
J08MZ2RXID,102,crossover,0.4633574272931521,0.1404970303219756,0.001107419712070845,0.23443972027135473,128,0.0530316018522614,63764.41103155211,0.7165714547693245,8
3FU1OYDHAM,102,crossover,0.36078367642390585,0.3401062832135042,0.009519291587602785,0.3202922895181509,131,0.05075529364287088,68021.2877744388,0.6356299855387825,8
YQPDCK7DEU,102,crossover,0.7174274925307138,0.014738980931541107,0.007692307692307665,0.03411373571325327,134,0.050969802965743195,66373.43858633492,0.6149863705010211,7
XB4DGHJHDE,102,crossover,0.35202389132750367,0.2570256330103157,0.052873986735445744,0.3688859203580846,131,0.04911200985741816,71940.32497899952,0.6169679082334258,8
LZ61Q3IUWZ,102,crossover,0.879537271652024,0.000578305720537668,0.19999999999999996,0.0018293017251261867,129,0.051369997255068245,65385.405027127286,0.6681311749544555,8
GH2HHGE6ZS,102,mutation,0.3211458755061999,0.24065332916536417,0.08424908424908417,0.35726212846981653,158,0.046068563753715715,72150.62099690315,0.3943396239436732,7
6J6EQ2VHEQ,102,crossover,0.8078220385884101,0.00022663332291340994,0.013157894736842146,0.006547105765540295,133,0.05546732885279964,54930.03331578693,0.6173743066213191,8
UFFOYMN862,102,crossover,0.35554667062218903,0.35858862144420134,0.013738310022345379,0.41897987768102357,131,0.06373442970149927,61076.40255741621,0.39547797534696766,8
462SZOP1EQ,102,mutation,0.5698184983788904,0.010237574241950612,0.13453389830508478,0.05620990614236654,123,0.05154105591471275,47230.630679403235,0.46479419359235635,7
Y07TLZAOET,102,mutation,0.6847880411440621,0.00012503907471084555,0.2210526315789474,0.02783579150944815,139,0.06006549846397418,71170.33588930064,0.5612042120113259,8
QNXEKYN78L,102,mutation,0.3683195055624944,0.06331666145670523,0.15449164228298518,0.1308698404470076,92,0.04800512660233301,67990.34923931611,0.278110251066981,5
