id,seed,creation_mode,gmean_inv,dem_fpr,dem_ppv,dem_pnr,max_iter,tol,lambda,l1_ratio,class_weight
1MJMV7VSWD,102,crossover,0.3009673220571366,0.14118773946360155,0.006218607988519531,0.1552593839458254,142,0.043577547656135036,33443.36824136202,0.4829553913135881,2
R18WBQBRZF,102,mutation,0.4965534840059286,0.00106960408684547,0.009433962264150941,0.010382002314494376,153,0.052180801943024005,41762.29026387335,0.37808889595547285,2
477KZBODJL,102,mutation,0.29430261217295495,0.14516283524904217,0.008329223519096929,0.16473884419244633,66,0.03025199906064764,26200.477923075174,0.30394720668929615,2
95NM0KJ4U2,102,mutation,0.40659673358153703,0.0398786717752235,0.010634526763559027,0.0586707714796707,73,0.03478553141537999,36674.28749062001,0.1425230003257535,2
F0S800M7JB,102,crossover,0.3053034994799273,0.07113665389527457,0.02849002849002852,0.09783998981179509,130,0.04699748990477835,34473.35398521554,0.2633766704943848,3
3CKST7JSJ4,102,crossover,0.2986038117658327,0.08023627075351211,0.050572867255345544,0.10765167413247989,167,0.02715814408654715,16781.853848539522,0.6696178377043395,2
EHP8WJ2768,102,crossover,0.34345568035918284,0.06567688378033205,0.018339950841368857,0.09257977530578454,162,0.034528378322130605,27575.281183063766,0.4688601283074898,2
JU46SSBGXO,102,crossover,0.30984404813432254,0.10009578544061304,0.0014089468122578386,0.1264887791318985,132,0.04181648738141627,42457.067474691314,0.24089795590519772,2
COJ7C4RXZW,102,crossover,0.6918201044191183,0.004038952745849297,0.11111111111111105,0.0027574598147297458,110,0.03142678756028435,26459.154286598172,0.3482368517138907,2
K2X0DJTQBY,102,mutation,0.3346358703700256,0.06629948914431674,0.024895741185391118,0.07250790416442876,137,0.056994733785053334,45623.69453599203,0.3350171113973585,2
8DOBGB1Y90,102,mutation,0.3449405267952089,0.03247126436781611,0.08337078651685395,0.0164949252772687,97,0.040776608286242674,35095.035721821536,0.1864456512209743,2
CPVLV47OUN,102,crossover,0.3411518342815614,0.04351851851851851,0.03223753976670202,0.06831634376332352,126,0.04185280436662115,50596.96914537435,0.2184271902058192,2
9LN0DYJ5G3,102,crossover,0.31194783928244807,0.049249680715197974,0.05698810785352648,0.07612360950382335,138,0.04336671881395143,37668.38260225475,0.2783295465575515,3
9JAUP2P7D7,102,crossover,0.29624823914474796,0.030475734355044748,0.08153907496012758,0.055509105708163364,146,0.022968859775883515,15659.149374984356,0.4346689939230892,2
JQT2X7BBHQ,102,mutation,0.35037591014879976,0.045673690932311606,0.0016856300042141226,0.06165525107834402,151,0.040843071780152736,33233.0355388925,0.2612157090212822,4
CNM32S43XB,102,crossover,0.7022699351690748,0.004038952745849297,0.08730158730158732,0.00449056206776266,110,0.04605306942673163,27142.554968093853,0.36866426582713213,2
MNTCMWU24N,102,crossover,0.31594499394420195,0.08515325670498083,0.009905193151266423,0.09460080508967283,120,0.050751287309552744,28226.317451547704,0.37153161425498354,2
WH924SPUOT,102,mutation,0.3297774389930238,0.08446679438058749,0.0,0.11483878826806049,162,0.042572563925976976,53370.53210734769,0.2079451835723746,3
MBVIXC05B8,102,mutation,0.29180718430122154,0.03773946360153255,0.07949956449441764,0.06659985271399382,117,0.04220717023305936,44836.54760288549,0.286956320350469,2
OEVMR8K8F4,102,mutation,0.3832152795970267,0.030587484035759893,0.02999999999999997,0.04551469814674336,141,0.04491102183913545,42207.69512567527,0.2692585543266334,3
