id,seed,creation_mode,gmean_inv,dem_fpr,max_iter,tol,lambda,l1_ratio,class_weight
GABY9LESW4,100,crossover,0.2970765912783958,0.15838509316770186,65,0.03671290773697185,52076.262411848,0.5928775213464702,2
TR66L25YHA,100,crossover,0.29773506768402,0.15476190476190477,65,0.03173332606625488,49892.90433516139,0.5712521798091227,2
VRBHSOV5OE,100,crossover,0.29773506768402,0.15476190476190477,65,0.03287819111004352,48456.69571917816,0.5748955646253899,2
FLEJ5DT2V9,100,mutation,0.3224519964559869,0.009834368530020732,62,0.03136832505565663,35494.38498902892,0.5529878765494356,2
333EWHVY7Y,100,mutation,0.3205620401946979,0.01501035196687367,62,0.03088639484037276,47605.03474894408,0.619780949678399,2
MOOIIZ4V9Y,100,crossover,0.32182142581830575,0.01345755693581785,62,0.02281486227509829,40192.57540388717,0.5315959718057255,2
VQHDNSB44P,100,mutation,0.3224519964559869,0.009834368530020732,62,0.02109908636838994,42165.35469212794,0.47180564210507925,2
QOMIH3G3U1,100,mutation,0.3224519964559869,0.009834368530020732,62,0.029144184463449196,39329.353534400434,0.5119741901560595,2
L901VU5YBL,100,crossover,0.3224519964559869,0.009834368530020732,62,0.024034775481656837,39266.08514048727,0.5284840215939408,2
CAKPECUGMA,100,crossover,0.3224519964559869,0.009834368530020732,62,0.023996626217440125,40921.807223253985,0.5010424703896621,2
HJ8J17ROZS,100,crossover,0.3224519964559869,0.009834368530020732,62,0.02412382053043739,38886.18802225238,0.5179899403907421,2
0U9PMJ3L4M,100,mutation,0.3224519964559869,0.009834368530020732,62,0.024406364741267634,36853.71823313941,0.562984803375421,2
ZUJKYC56R9,100,crossover,0.32182142581830575,0.01345755693581785,62,0.025811446007263424,39573.656552770495,0.5547993319306492,2
409MT04M9D,100,crossover,0.32182142581830575,0.01345755693581785,62,0.021726886806802757,43054.7563380699,0.5116167569003256,2
FHUV4VNI5H,100,crossover,0.32182142581830575,0.01345755693581785,62,0.023248090175756436,43506.15973704876,0.5562870329832555,2
70RWXYOOTU,100,crossover,0.32182142581830575,0.01345755693581785,62,0.03117578482200964,44864.6362388403,0.5341640854685685,2
CCA6D4PBOH,100,crossover,0.32182142581830575,0.01345755693581785,62,0.02383196393126994,40626.153391134605,0.5362600926269657,2
NB7F4QUINN,100,mutation,0.32182142581830575,0.01345755693581785,62,0.036454526131409225,44887.33053212004,0.5354964379748421,2
8BMR469SZR,100,mutation,0.32182142581830575,0.01345755693581785,62,0.023910184829358933,43309.76669674952,0.49110518026330263,2
9Y7BB3EX90,100,crossover,0.32182142581830575,0.01345755693581785,62,0.030824153943682406,46974.42642550789,0.546086920791701,2
BZSVH59I89,100,crossover,0.32182142581830575,0.01345755693581785,62,0.025039290529494208,43828.61625561609,0.564443839255163,2
DL09B2MBS8,100,crossover,0.32182142581830575,0.01345755693581785,62,0.03167729707963793,45002.08907303146,0.5734470723165102,2
X94HOUQQKE,100,crossover,0.32182142581830575,0.01345755693581785,62,0.021730843301506153,43869.23487393079,0.5592278222287259,2
R9RAO18I2P,100,crossover,0.32182142581830575,0.01345755693581785,62,0.028649968564153434,46038.413022314744,0.5679886230875678,2
1DYEM95M5W,100,crossover,0.32182142581830575,0.01345755693581785,62,0.026088798344991414,43947.696311886386,0.5615196124534274,2
UPO8RLD1FC,100,crossover,0.32182142581830575,0.01345755693581785,62,0.02354578863677246,44832.29049270289,0.5593161774660925,2
TIAOOEFTLZ,100,crossover,0.32182142581830575,0.01345755693581785,62,0.030960011344126244,44806.43130333886,0.5209290929049176,2
7G4T5NRMEP,100,crossover,0.32182142581830575,0.01345755693581785,62,0.02953276272044653,47087.98705966863,0.5494910256785597,2
07NH3PF8DD,100,mutation,0.32182142581830575,0.01345755693581785,62,0.030827884332447937,40928.68855476769,0.570792957726799,2
H0ANFOL99I,100,mutation,0.32182142581830575,0.01345755693581785,62,0.02949938131134342,45459.05146114967,0.5706427376772788,2
2U4FP813QL,100,crossover,0.32182142581830575,0.01345755693581785,62,0.025745994669226318,43906.16226734145,0.5634914756751078,2
YLJWIRO5BK,100,mutation,0.32182142581830575,0.01345755693581785,62,0.021196837629112605,43870.150300161025,0.5624719760334825,2
1FLCCFII1W,100,crossover,0.4570142734096099,0.0,105,0.03393280142528824,30673.131204217203,0.46665623069444584,2
3B9YSZ7N1B,100,mutation,0.29591859714180213,0.1780538302277433,80,0.03528863166801679,30107.58813960086,0.40833476076949715,2
GZJ48C2KD4,100,inicialization,0.3623309553238664,0.0010351966873705931,177,0.0048053532716317415,19812.198735999886,0.24879445997974925,2
RUOKS7WJZ9,100,crossover,0.3012526239883193,0.08643892339544518,109,0.053998434178860064,39110.56770855051,0.5674557788990457,2
GS5RV73RLP,100,crossover,0.3015117552325398,0.05590062111801247,105,0.012718416788204304,27040.622862934695,0.3486892284608141,2
JY2VOF8ZFX,100,crossover,0.2990538762324846,0.14751552795031056,65,0.029625059728465956,47132.77623946972,0.5703766774239011,2
TV5BHGR503,100,mutation,0.3076728378171756,0.026397515527950277,80,0.053800477380852925,48353.01743277617,0.6715384689727312,2
RWHRQ9CNJA,100,crossover,0.33130481904748543,0.007246376811594207,167,0.07492889323795418,23600.099913298265,0.27151475813660203,4
EXGWDFVGI1,100,crossover,0.3454418061698262,0.004658385093167711,109,0.00905766126564354,29426.151602541773,0.333794868404894,2
I2GWWVUNAJ,100,mutation,0.2970765912783958,0.15838509316770186,65,0.030857246293951517,47551.95717542946,0.6157917259554478,2
97VV7E88QJ,100,crossover,0.3156725813391913,0.022774327122153187,115,0.018425269791684115,26879.55192684274,0.2981480579877835,2
HS83D7KSTP,100,crossover,0.34516529069153545,0.0062111801242235865,82,0.039691883832147126,41227.503764751345,0.5838697201575225,2
E8FFZACEDG,100,crossover,0.3224519964559869,0.009834368530020732,62,0.025267417039760216,36824.268461168554,0.5384955554300029,2
0JA7DR20Y0,100,crossover,0.31640781664823925,0.016045548654244346,69,0.04191820963670198,55234.48992598517,0.5854304373154876,2
W8W34UQM1J,100,crossover,0.3205620401946979,0.01501035196687367,62,0.0377305309688706,51268.617296024175,0.5893010972037575,2
KJXRFLP3PN,100,crossover,0.2990538762324846,0.14751552795031056,65,0.029915365698154735,48515.42664942838,0.5563047639846679,2
LMWNDJDPEZ,100,crossover,0.32182142581830575,0.01345755693581785,62,0.015510587633743425,41110.96193098287,0.543331068139782,2
