id,seed,creation_mode,gmean_inv,dem_fpr,dem_ppv,dem_pnr,max_iter,tol,lambda,l1_ratio,class_weight
M8W3D6NOS5,101,inicialization,0.3591577523029914,0.03041743240805466,0.02526704065165608,0.07048487383466995,100,0.0001,1.0,0.0,
NV2EQMKF28,101,inicialization,0.3521406537554398,0.0383861929781045,0.021273114056619247,0.07581516128945764,100,0.0001,1.0,1.0,
XM4UPZ1NE1,101,inicialization,0.3079714927191014,0.06425709461744876,0.041857114467408585,0.12026528100642686,104,0.02125360037139679,65227.780707252256,0.6249139508615955,4
RZYO1EZ0A3,101,inicialization,0.2923986517340018,0.04645219800662954,0.04632221355481114,0.09397111777843914,59,0.009560515488809842,79560.5244459213,0.3709044359966771,4
QJC1LREJZX,101,inicialization,0.30536497310695065,0.0888856630662728,0.045167222158372544,0.1462511026562956,181,0.056950022291883076,16633.060289460303,0.8438550373606448,5
L7AFECW82H,101,inicialization,0.2581775760957893,0.13720277019866056,0.08522551026738634,0.20799449275129167,142,0.06102614548705841,60544.22880621495,0.4606211915033621,6
LM92IFJTVY,101,inicialization,0.3837886535633078,0.07447093377229574,0.11653373350326851,0.10202620635290904,32,0.054898824481504835,68920.54931499145,0.3503746126816797,1
RUFRJQ3N1H,101,inicialization,0.4533958127048683,0.027645965341511265,0.03209459459459463,0.061054313698677865,114,0.08004591214146414,95932.88181255992,0.2443475506873798,3
LAAZ3CVPR4,101,inicialization,0.545898720615906,0.008519460166414864,0.046376811594202816,0.035825939838536214,139,0.0552784747574692,53534.73271355693,0.3343548925110813,8
SWXZZDO7EN,101,inicialization,0.37969037079639467,0.03779708886734165,0.049986470197535215,0.0838052300094112,47,0.012132465099325782,34249.825033476794,0.36993333715037857,5
MX69NI389U,101,inicialization,0.4533958127048683,0.027645965341511265,0.03209459459459463,0.061054313698677865,74,0.030182139190316128,25556.32013074202,0.8821160453194776,3
TCPDV22DR9,101,inicialization,0.664666590636557,0.00016136942746972733,0.02428343949044587,0.01110834050562648,148,0.09508809914786849,77321.51910978729,0.46515925209796294,9
DA02RJ5DCR,101,inicialization,0.37969037079639467,0.03779708886734165,0.049986470197535215,0.0838052300094112,129,0.01220614951514887,8611.877414043487,0.6246776640271346,5
7EJ40GQAPW,101,inicialization,0.4533958127048683,0.027645965341511265,0.03209459459459463,0.061054313698677865,59,0.07965714676537901,9609.859581722973,0.2323387990410245,3
KLM2ICM76O,101,inicialization,0.30536497310695065,0.0888856630662728,0.045167222158372544,0.1462511026562956,39,0.05279759864717889,1234.8425824821443,0.9016517246593337,5
