id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst,max_iter,tol,lambda,l1_ratio,class_weight
J3A4HF7EBD,101,mutation,0.0,0.0,0.0,0.0,0.12552536780479384,0.6730769230769231,0.20833333333333337,0.5,105,0.004296792880738612,77520.64568614964,0.9073569581142379,7
EKQRLC3TEF,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,98,0.009075020780152194,64354.10042628786,0.530502140292373,7
DNB6FO9R4H,101,mutation,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,107,0.008986001963469848,49505.75799851203,0.7521739383549224,7
BO8M16T7N7,101,mutation,0.0,0.0,0.0,0.0,0.12552536780479384,0.6730769230769231,0.20833333333333337,0.5,93,0.008471047393864244,60416.97226715788,0.5660723941277434,6
DI293TOSFX,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,96,0.010941464292198666,60453.57785068486,0.556997096187771,7
BDY0C1TVOE,101,crossover,0.0,0.0,0.0,0.0,0.15983194958319413,0.5961538461538461,0.11111111111111116,0.45000000000000007,105,0.010086372112714606,60564.6954850531,0.6811205508680129,7
XRKNABBP10,101,mutation,0.0,0.0,0.0,0.0,0.12552536780479384,0.6730769230769231,0.20833333333333337,0.5,120,0.01078474606980941,70875.62284628657,0.6861192111736922,7
4TTPHP2J7B,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,113,0.009905257592303218,65342.80110433438,0.4852731257705625,7
0TYH0DWT27,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,93,0.009698976236308865,60466.682810096565,0.48671881878047846,7
DAVG4Q4R8N,101,mutation,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,107,0.009347428989309488,57528.46507587224,0.5081784111411592,7
61Z3N5UVAF,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,104,0.010931585411447297,63130.75058968241,0.48290587996776535,7
IV63914SLP,101,crossover,0.0,0.0,0.0,0.0,0.15983194958319413,0.5961538461538461,0.11111111111111116,0.45000000000000007,94,0.01026955489876985,62138.60102847583,0.6734975119116944,7
B1A5RMN1BN,101,crossover,0.0,0.0,0.0,0.0,0.15983194958319413,0.5961538461538461,0.11111111111111116,0.45000000000000007,100,0.010822937676922512,62850.03431471221,0.8315731852459637,7
QA1SY4ASC2,101,crossover,0.0,0.0,0.0,0.0,0.15983194958319413,0.5961538461538461,0.11111111111111116,0.45000000000000007,94,0.010081982270834415,60118.52590439756,0.6804241938972104,7
6CTZL4XNZ1,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,117,0.010871938555713572,73772.68202627896,0.4102615153877966,7
OTIEP0POM4,101,crossover,0.0,0.0,0.0,0.0,0.15983194958319413,0.5961538461538461,0.11111111111111116,0.45000000000000007,95,0.009329510158312333,59291.80044722693,0.5837339434102439,7
92YANHF9KW,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,106,0.012549697077051182,66209.3357250964,0.47987480492779655,7
QSUCK2KV0K,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,92,0.005640964451675215,63416.696668138546,0.6697020240265937,7
5IKK9WKMET,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,137,0.011347180516327292,73908.75218874482,0.42487425452231403,7
06GQ8Y2IFT,101,mutation,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,144,0.011319973410284477,79411.74727445403,0.4141899011732599,7
SEE9PJTWOP,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,92,0.01122392924661862,56491.036197071626,0.5539983665347744,7
F2NA3A9WG4,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,92,0.01067798222412226,58408.9177756092,0.5821390098506213,7
LW5H8A844Y,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,97,0.011000407031150749,63372.5410593964,0.5230428896109323,7
2BFEYA2BTM,101,crossover,0.0,0.0,0.0,0.0,0.12552536780479384,0.6730769230769231,0.20833333333333337,0.5,99,0.01097405527763146,63587.443997139344,0.5691382118897275,7
PNGRF47EUN,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,115,0.013052433963197918,62205.800527304,0.5547206943973698,7
7GVSV8VPGE,101,mutation,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,96,0.007728990255125237,62617.534477607805,0.556142632059443,7
5UM35DOI36,101,crossover,0.0,0.0,0.0,0.0,0.12552536780479384,0.34615384615384615,0.02777777777777779,0.35000000000000003,95,0.01087554107723892,56939.13588246584,0.6898021536143425,7
TPOUNOM48O,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,91,0.008990577816187917,54679.543336262584,0.5836849426841724,7
2HROMR32N6,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,102,0.01275731287686253,64335.81458420722,0.5306216886382044,7
AYWFDUM9X2,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,107,0.012234330960266531,64478.061375077894,0.5432489773377102,7
7W3WX7V38P,101,crossover,0.0,0.0,0.0,0.0,0.09251478702696991,0.4230769230769231,0.125,0.39999999999999997,90,0.010962315694569996,58995.3360993674,0.6775626401662269,7
FMN3F58GXG,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,115,0.01247640678691414,70100.09440932328,0.44415700396986457,7
9G4HX29UAY,101,crossover,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,98,0.010412520486884921,58079.59022701795,0.519149001769017,7
CKV4M20X88,101,crossover,0.0,0.0,0.0,0.0,0.12552536780479384,0.6730769230769231,0.20833333333333337,0.5,91,0.008421594887368223,60872.52750076153,0.8468673678209784,7
H77OFK3XMS,101,mutation,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,110,0.012027149258262532,72386.48216734061,0.4284913505989943,7
3HFYWGADF6,101,mutation,0.0,0.0,0.0,0.0,0.19560033346015626,0.5192307692307692,0.033333333333333326,0.4,90,0.011483818950944613,53786.18119832065,0.6099327878799402,7
