id,creation_mode,error,dem_fp,dem_ppv,dem_pnr,max_iter,tol,lambda,l1_ratio,class_weight
P14TI18HQS,inicialization,0.35683086321887447,0.045174339846721964,0.0582771943728948,0.10313363710420398,100,0.0001,1.0,0.0,
CRUMLMJ8IP,inicialization,0.34539964542814117,0.045942585685390336,0.0670919989101807,0.10418245521071423,100,0.0001,1.0,1.0,
XHEKE5MJ3R,inicialization,0.2729294337775173,0.3896156915140381,0.14435013303276362,0.4371958599534279,36,0.027368852406759243,43429.40868064598,0.822424122955478,2
TZSTCZTKOO,inicialization,0.6525842545839982,0.0005121638924455825,0.0119760479041916,0.02194561027579378,122,0.060952552451084975,78480.25167508516,0.9062178448542928,7
NS45962VAY,inicialization,0.608716656028331,0.00204865556978233,0.036363636363636376,0.03211250074193617,182,0.092725713343549,3650.122723169626,0.8956840141810661,8
H6VQAOZ8SQ,inicialization,0.5246433347672554,0.0059975134071888515,0.022433862433862473,0.03687078440497582,88,0.06329531101437658,95103.02002430469,0.36915099530305684,6
6PZ10I0201,inicialization,0.6156577821580882,0.000805359164207909,0.045454545454545525,0.0178025959592224,154,0.029186681135492394,15135.759268449803,0.6428061511334254,9
ZPTUJ5FB68,inicialization,0.2992931476848052,0.27457180500658757,0.008500858026406877,0.2973527289055733,183,0.02408025574126185,89959.99128886894,0.3337605454177237,2
J2J0NDHETK,inicialization,0.2453029348434187,0.28524559743175787,0.10680807281361304,0.3446151351528044,137,0.045494039955452134,71679.45415195008,0.7202921056722597,1
LMWQUTAB3I,inicialization,0.4263324410616314,0.01949562990591772,0.023386619301361766,0.06764048829289315,50,0.01503530110477849,18318.538618532624,0.5067044601103337,6
WID622UXWJ,inicialization,0.2478176791108464,0.12743231457254728,0.04308445532435734,0.19012876570216397,180,0.019534698879048143,39525.39652233327,0.2284465958050037,4
GDCH4NRNGQ,inicialization,0.6525842545839982,0.0005121638924455825,0.0119760479041916,0.02194561027579378,30,0.07364057220172347,27796.272363414075,0.7627687238760804,7
419IMOYIVD,inicialization,0.4326063759852582,0.010748019076249327,0.042349726775956276,0.04253336992117851,27,0.03734367158186186,15457.975444009562,0.31455980484768586,4
6Y1EM03406,inicialization,0.2973124367410358,0.06096977119634804,0.025704489446051637,0.11533579813832096,165,0.07003346159351,60476.71413291793,0.2223495118551322,3
CEH8ACWH4W,inicialization,0.28858290712500445,0.07091985377349737,0.007993197278911568,0.13590377282044974,146,0.0016611661830633223,40073.25638066259,0.26415202898009693,4
CJZU00RG59,inicialization,0.4734849564209793,0.0034700959379465202,0.05361866969009832,0.027937013279151213,160,0.04347576120534002,84838.27167345169,0.1687332928870624,7
IU23Z4CFAL,inicialization,0.2478176791108464,0.12743231457254728,0.04308445532435734,0.19012876570216397,152,0.016315700573695194,16922.749855964128,0.28842405800264304,4
068SYGR4UW,inicialization,0.5719004854328905,0.0009501011338120952,0.04636015325670495,0.027645615179023864,124,0.00747742463997877,82685.20153896588,0.9611473326374981,8
J5OV0IKAXF,inicialization,0.608716656028331,0.00204865556978233,0.036363636363636376,0.03211250074193617,113,0.09645173770017122,21585.818459326583,0.34852139026935025,8
LSTGAWLVV3,inicialization,0.4179949365903708,0.019714598526600974,0.014670896114195031,0.06792199391139264,167,0.0015714700442271065,83062.00174548138,0.3561057898213791,6
SZGOK72IOA,inicialization,0.38249665025957236,0.030432926942418673,0.053102453102453095,0.0824884580545876,89,0.02642553154661409,4630.107508145957,0.1441165914824678,5
R1UIYI0VZV,inicialization,0.2973124367410358,0.06096977119634804,0.025704489446051637,0.11533579813832096,162,0.08358904078592778,77762.4057075416,0.21203216449781603,3
Y9CMTXJOO9,inicialization,0.5490960684340325,0.0034738072705004733,0.029290429042904242,0.031218091370401213,75,0.027291810729969945,92303.94583275991,0.6887724252106254,6
DLMORT256M,inicialization,0.5246433347672554,0.0059975134071888515,0.022433862433862473,0.03687078440497582,23,0.04557978487782462,74406.13974539647,0.6816152367354392,6
FR9JYW9A12,inicialization,0.5686816467679324,0.0006235038690641874,0.08693397856895957,0.025787118956661526,164,0.0009946641725472587,82755.16581457204,0.14683105835364485,8
CNP55D03O9,inicialization,0.23192495851544803,0.15163391415687805,0.006108992177904171,0.20912211537386272,21,0.07718483023424474,95313.8520333515,0.8447668920926694,2
546G4OUBMZ,inicialization,0.23192495851544803,0.15163391415687805,0.006108992177904171,0.20912211537386272,121,0.06645480053276574,54387.02383825707,0.6088754830338862,2
HDJ52IDYJZ,inicialization,0.5246433347672554,0.0059975134071888515,0.022433862433862473,0.03687078440497582,171,0.06856379703043598,18096.122444966968,0.2752540860230459,6
6XVPYMVJED,inicialization,0.2453029348434187,0.28524559743175787,0.10680807281361304,0.3446151351528044,140,0.07438853455652791,19186.00135797281,0.5046224445221971,1
Z4BNI0X870,inicialization,0.5490960684340325,0.0034738072705004733,0.029290429042904242,0.031218091370401213,95,0.023070764656894574,6549.096036488901,0.543686413800598,6
1YXYTASKLD,inicialization,0.3538685413535,0.05889513629868804,0.1346643891237993,0.1211181687038011,100,0.05302412818901716,29253.050829923915,0.8094557399188184,2
5JM2C6IFYG,inicialization,0.4199955354578905,0.027033346322997275,0.10439189189189191,0.07992996123007423,93,0.01719783363417538,3711.1655503185034,0.7051992286612554,5
7PABGYX6V6,inicialization,0.5406671914390513,0.0076824583866837385,0.09230769230769231,0.05001230108585042,112,0.06540953799003578,24242.35059043627,0.8421288446574745,8
GLMO3R9GZG,inicialization,0.5246433347672554,0.0059975134071888515,0.022433862433862473,0.03687078440497582,40,0.05630970493326084,11460.125245566112,0.26953776362445847,6
LIVQKM6QF1,inicialization,0.5246433347672554,0.0059975134071888515,0.022433862433862473,0.03687078440497582,145,0.09174880136508728,74486.63324851896,0.9713997432760563,6
552DH4YKXK,inicialization,0.23192495851544803,0.15163391415687805,0.006108992177904171,0.20912211537386272,79,0.09222048207788545,10446.743336901214,0.30750519401664866,2
Y45RIWV0H3,inicialization,0.608716656028331,0.00204865556978233,0.036363636363636376,0.03211250074193617,157,0.09831270746812729,76981.09742482676,0.00702246233231274,8
RX7DCKDVED,inicialization,0.4981296209479995,0.006947614541000947,0.03074194501921379,0.03823100062881779,118,0.07336011259189719,92412.93216712266,0.05763772651361365,5
8XTWVZECZ2,inicialization,0.5246433347672554,0.0059975134071888515,0.022433862433862473,0.03687078440497582,34,0.07218898026373426,88290.32140686762,0.0056012412230999065,6
WOK19UA1AZ,inicialization,0.636923410832588,0.00025608194622279127,0.005586592178770999,0.020884319040274435,79,0.01184353863104412,37832.84294161891,0.6872636470608898,9
E3YRFHZ2FQ,inicialization,0.4981296209479995,0.006947614541000947,0.03074194501921379,0.03823100062881779,141,0.06979270915540503,42241.84152174602,0.99178622326014,5
W3CELH7H3A,inicialization,0.5246433347672554,0.0059975134071888515,0.022433862433862473,0.03687078440497582,76,0.04985454934585614,61321.331720399976,0.36176711139710127,6
5MOP0RBL1S,inicialization,0.2973124367410358,0.06096977119634804,0.025704489446051637,0.11533579813832096,76,0.06869526495504207,16183.27785908597,0.5211724093613896,3
ZX0PXX99AZ,inicialization,0.6525842545839982,0.0005121638924455825,0.0119760479041916,0.02194561027579378,199,0.06557422970493289,66904.8276916158,0.8355337169406547,7
RIUU223NGL,inicialization,0.4542300710136803,0.014960381524986547,0.03688524590163933,0.05773768407542712,32,0.0070815470743899244,15155.918984876049,0.22439687737612812,7
Q5JGS73V7E,inicialization,0.23192495851544803,0.15163391415687805,0.006108992177904171,0.20912211537386272,76,0.08357925468867264,72289.05258253436,0.313144753534522,2
MXLYYDD1H0,inicialization,0.4326063759852582,0.010748019076249327,0.042349726775956276,0.04253336992117851,119,0.08847680073948443,3836.5959084796123,0.055249487152284726,4
K6FQTDWX79,inicialization,0.5096539308141639,0.0073150364638423435,0.0017204301075268713,0.043333155555402625,63,0.011052177069512677,51354.950007712636,0.6446015709976677,7
ZO3B4W1IAI,inicialization,0.608716656028331,0.00204865556978233,0.036363636363636376,0.03211250074193617,143,0.0775446012237167,47524.381793790635,0.7339952192721299,8
F8YXVT4AH9,inicialization,0.2973124367410358,0.06096977119634804,0.025704489446051637,0.11533579813832096,139,0.044612744778271735,48290.92298190418,0.8537607600713322,3
KSNBB68M51,crossover,0.4263324410616314,0.01949562990591772,0.023386619301361766,0.06764048829289315,141,0.014481374424281112,54819.90035278714,0.45811156619351556,6
