id,creation_mode,error,dem_fp,dem_ppv,dem_pnr,max_iter,tol,lambda,l1_ratio,class_weight
3NEHY3VH5F,inicialization,0.0,0.0,0.0,0.24786324786324787,100,0.0001,1.0,0.0,
IOBCOGI7SL,inicialization,0.0,0.0,0.0,0.24786324786324787,100,0.0001,1.0,1.0,
00OPFXMN64,inicialization,0.057190958417936644,0.0,0.0,0.32478632478632485,169,0.07122658860538332,90675.27379165667,0.7577695547518469,5
37M7SC4JI0,inicialization,0.1229419806929708,0.3333333333333333,0.4285714285714286,0.017094017094017144,112,0.09196167197888847,48122.48767594416,0.3480695195248974,8
FT5HGYSB94,inicialization,0.08013378899220014,0.2222222222222222,0.33333333333333337,0.09401709401709402,127,0.03946623634698344,81899.9089093237,0.44421356366434817,7
EL2CUSA8PP,inicialization,0.1229419806929708,0.3333333333333333,0.4285714285714286,0.017094017094017144,132,0.022982209874272536,38625.691069517365,0.5785186297030117,6
YB43VF9JCU,inicialization,0.057190958417936644,0.0,0.0,0.32478632478632485,69,0.06486775558451205,23199.060981901584,0.09481986597457914,5
ZLLRX7C5WI,inicialization,0.1229419806929708,0.3333333333333333,0.4285714285714286,0.017094017094017144,80,0.06315113526926523,6672.2460817293095,0.02813370989019326,8
K01SS8U0QR,inicialization,0.08013378899220014,0.2222222222222222,0.33333333333333337,0.09401709401709402,114,0.040032277771034325,59398.0930717802,0.32815695404043954,7
0JI328AH5B,inicialization,0.03923107716947716,0.1111111111111111,0.19999999999999996,0.170940170940171,170,0.015237335595929768,59995.91797464196,0.7076179435647935,4
HQA98HDIJ7,inicialization,0.057190958417936644,0.0,0.0,0.32478632478632485,83,0.0801294150411249,4814.855030669902,0.8813182473573914,5
PQ1FSY4TM0,inicialization,0.057190958417936644,0.0,0.0,0.32478632478632485,140,0.0653971844765434,51446.79182686064,0.726777937936861,9
VGWS6SF43Z,inicialization,0.057190958417936644,0.0,0.0,0.32478632478632485,158,0.005326415292857599,27910.238842563183,0.02247631649979287,7
7GPUSWYVMH,inicialization,0.11808289631180313,0.0,0.0,0.4017094017094017,39,0.06500490725411916,31383.81889799816,0.4536251040305358,7
RJ2UURG9ZH,inicialization,0.057190958417936644,0.0,0.0,0.32478632478632485,74,0.09942059795305586,15711.896193291012,0.7330369836294878,4
7U29RCJ5K0,inicialization,0.057190958417936644,0.0,0.0,0.32478632478632485,23,0.026889486708550906,89199.25165792397,0.7825290914267371,8
W1GRWHQ9CB,inicialization,0.057190958417936644,0.0,0.0,0.32478632478632485,171,0.09976644019552765,19272.416416120115,0.28383731856754113,4
GXARWJM3T0,inicialization,0.057190958417936644,0.0,0.0,0.32478632478632485,192,0.021417635489329786,29251.858243993927,0.21768828301524978,8
3UFKT1PV8L,inicialization,0.057190958417936644,0.0,0.0,0.32478632478632485,100,0.07900345256382493,65226.57673209027,0.7425812431395556,6
QKROH248UF,inicialization,0.1229419806929708,0.3333333333333333,0.4285714285714286,0.017094017094017144,59,0.07046466057339,2212.744676478231,0.5354738030078374,4
VLV2AIPFYM,inicialization,0.1229419806929708,0.3333333333333333,0.4285714285714286,0.017094017094017144,175,0.010484392329340115,70698.4243677042,0.4234006804658138,6
IBYDYE21XI,inicialization,0.08013378899220014,0.2222222222222222,0.33333333333333337,0.09401709401709402,134,0.040344230048679396,80167.98101936985,0.2748389261626015,7
ATJHTMBF5T,inicialization,0.03923107716947716,0.1111111111111111,0.19999999999999996,0.170940170940171,24,0.05339870763952565,4773.389440516156,0.7352882058458643,6
TBV7RJY5L7,inicialization,0.057190958417936644,0.0,0.0,0.32478632478632485,110,0.017872522076125514,20972.034938635148,0.9990495175485303,7
OW3C3DSVHJ,inicialization,0.11808289631180313,0.0,0.0,0.4017094017094017,103,0.09335675986569134,42980.01947633436,0.7278340814479631,7
Z1KC5UBZPV,inicialization,0.1229419806929708,0.3333333333333333,0.4285714285714286,0.017094017094017144,24,0.04661004850141624,63901.166916927636,0.7785595758449988,5
KHGZXEW7GY,inicialization,0.057190958417936644,0.0,0.0,0.32478632478632485,49,0.06373988474862027,34078.20664296175,0.9761189790578068,5
WL7L6DQY63,inicialization,0.057190958417936644,0.0,0.0,0.32478632478632485,143,0.08324478270658797,10317.15159522734,0.9628313420723266,6
KEBD81GXD2,inicialization,0.1229419806929708,0.3333333333333333,0.4285714285714286,0.017094017094017144,47,0.09328063157947453,25305.92079311913,0.12093770339306598,4
UUDI878ANV,inicialization,0.1229419806929708,0.3333333333333333,0.4285714285714286,0.017094017094017144,101,0.015283906690953971,66180.25390834777,0.6933644007847207,2
86FR5O1W3E,inicialization,0.08013378899220014,0.2222222222222222,0.33333333333333337,0.09401709401709402,162,0.043368969808012116,19983.821018461862,0.8346153218645631,7
80C036ZLJJ,inicialization,0.1229419806929708,0.3333333333333333,0.4285714285714286,0.017094017094017144,175,0.04753725795677587,11273.25973075138,0.44836476737188036,2
9NJ87X0U1E,inicialization,0.057190958417936644,0.0,0.0,0.32478632478632485,116,0.08822756736133892,44670.48801793624,0.5745410104835142,7
