id,creation_mode,error,dem_fp,dem_ppv,dem_pnr,max_iter,tol,lambda,l1_ratio,class_weight
ON50GFZX69,crossover,0.25302542580570153,0.2661782661782661,0.04186602870813405,0.31169871794871795,94,0.028388626416413956,33517.799907044806,0.4267323757928253,5
PT83RDD1QM,crossover,0.25302542580570153,0.2661782661782661,0.04186602870813405,0.31169871794871795,94,0.028326098064269698,33452.81551058542,0.42210132113333054,5
B4XRPO2DI6,crossover,0.2496377686337954,0.21855921855921853,0.012626262626262652,0.28044871794871795,94,0.03279560363143874,35130.2074797022,0.43659320550286473,5
IY2C4C2DVS,crossover,0.2493481093945309,0.3052503052503052,0.06521739130434778,0.3301282051282052,94,0.030514541992569463,31368.449312820583,0.42309541424445685,5
SS7KIWXDYJ,crossover,0.6883889455180348,0.07814407814407814,0.09999999999999998,0.09294871794871795,105,0.043602502982493595,43724.32108569267,0.3373606758604064,5
ERNFP2EY04,crossover,0.3115865751757445,0.03296703296703296,0.17619047619047623,0.14903846153846156,103,0.04041221197091672,43562.908769880676,0.2692007769157252,4
HLNYIXZZO2,crossover,0.2493481093945309,0.3052503052503052,0.06521739130434778,0.3301282051282052,94,0.03366424435252011,33850.69314580965,0.3851190672500991,5
1SRFA7SLWC,crossover,0.23899380108792234,0.24908424908424906,0.0031914893617021045,0.3237179487179487,94,0.03355114405893766,32163.269141442204,0.37948613368929923,5
KD860RHGZ1,crossover,0.2496377686337954,0.21855921855921853,0.012626262626262652,0.28044871794871795,94,0.033982568855884354,36008.55497851623,0.4180401425535447,5
60IVVQBW4T,crossover,0.24588087666873681,0.2576312576312576,0.0389016018306636,0.2988782051282052,94,0.031569123854222,31216.960575769288,0.4168127797803467,5
V4G5GKGR9W,mutation,0.2959743087691732,0.13186813186813184,0.09868421052631582,0.2564102564102564,128,0.04585047494748155,35632.22257990076,0.05395043153176882,4
G8QGOD0FT3,crossover,0.36938033695396877,0.5006105006105006,0.018604651162790697,0.5056089743589743,113,0.04275680078894018,19826.221832805528,0.2304516815183129,3
5R7VJPU6PI,crossover,0.2496377686337954,0.21855921855921853,0.012626262626262652,0.28044871794871795,94,0.03395699682949654,37697.56416132979,0.4125887047803046,5
YJHBNQDWJ8,crossover,0.24252517141357832,0.24053724053724052,0.008333333333333415,0.3173076923076923,94,0.03234953585735042,30433.601123012773,0.40829392222006955,5
