id,creation_mode,error,dem_fp,dem_ppv,num_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
IC3M5ZGH5S,inicialization,0.16333997346592444,1.0,0.5,3,1,4,6,3,6
7P0BJQ1D7A,inicialization,0.1339745962155613,1.0,0.33333333333333337,5,0,5,11,5,9
K2ESLVCA8N,inicialization,0.3675444679663241,0.380952380952381,0.525,4,1,5,38,5,1
H57L1O033P,inicialization,0.683772233983162,0.1428571428571429,0.4166666666666667,2,1,5,32,2,2
4RALRSPR8L,inicialization,0.198959010620139,0.047619047619047616,0.4,5,0,4,21,7,3
GQ79H4XPAC,inicialization,0.16333997346592444,1.0,0.5,4,0,3,33,5,7
BXNPNOJ9GV,inicialization,0.16333997346592444,1.0,0.5,3,0,4,34,9,4
XC1ZYTPQCW,inicialization,0.3675444679663241,0.380952380952381,0.525,5,0,5,34,9,1
91VA6YYF28,inicialization,0.3675444679663241,0.380952380952381,0.525,4,0,3,19,7,1
OFQN09VDWH,inicialization,0.3675444679663241,0.380952380952381,0.525,4,0,4,24,4,1
4654HQF282,inicialization,0.10557280900008414,1.0,0.4,6,0,4,6,6,5
O226WXQUK8,inicialization,0.16333997346592444,1.0,0.5,3,0,4,38,4,7
NOUO06HE6R,inicialization,0.16333997346592444,1.0,0.5,4,1,5,22,5,7
AXA9V0NWY8,inicialization,0.16333997346592444,1.0,0.5,3,0,5,33,9,4
A5EBVPR5ZB,inicialization,0.2254033307585166,1.0,0.33333333333333337,3,1,4,36,6,9
26VGYS8NJA,inicialization,0.05131670194948623,1.0,0.25,7,0,4,3,7,4
6A72EPW17P,inicialization,0.2254033307585166,1.0,0.33333333333333337,2,0,5,30,2,5
SM25TLUC0C,inicialization,0.10557280900008414,1.0,0.4,6,0,5,8,7,8
9GJDCPP71B,inicialization,0.198959010620139,0.047619047619047616,0.4,4,1,3,33,7,2
1EL81QPOCD,inicialization,0.2254033307585166,1.0,0.33333333333333337,4,0,3,9,5,8
1ZLCR9VBJG,inicialization,0.16333997346592444,1.0,0.5,3,0,4,14,3,6
Y4992JRS2R,inicialization,0.23623738417402662,1.0,0.0,4,1,4,22,4,3
XO54SELLLG,inicialization,0.2254033307585166,1.0,0.33333333333333337,2,0,3,26,2,5
JSRK8SW1U8,inicialization,0.16333997346592444,1.0,0.5,5,0,4,30,9,6
M9GIH72PEI,inicialization,0.16333997346592444,1.0,0.5,3,0,5,31,3,7
2VLSQQHY7P,inicialization,0.23623738417402662,1.0,0.0,3,1,3,19,3,3
RT6RFLSFK5,inicialization,0.16333997346592444,1.0,0.5,3,1,3,31,3,5
SDFDMJHF3M,inicialization,0.16333997346592444,1.0,0.5,4,1,4,28,6,5
4ZGVSSW2VB,inicialization,0.683772233983162,0.1428571428571429,0.4166666666666667,3,1,3,28,3,4
TMHGQ10RWC,inicialization,0.2254033307585166,1.0,0.33333333333333337,2,0,4,27,2,8
EOM1MLMPVJ,inicialization,0.16333997346592444,1.0,0.5,4,0,3,13,5,7
XLPXHOMJKE,inicialization,0.2254033307585166,1.0,0.33333333333333337,4,1,5,19,7,9
BPOOD1MGAG,inicialization,0.16333997346592444,1.0,0.5,5,0,5,11,7,7
B1OF4SQ7RT,inicialization,0.1339745962155613,1.0,0.33333333333333337,4,0,3,10,9,9
79A0O0RBZJ,inicialization,0.2254033307585166,1.0,0.33333333333333337,3,1,3,37,4,8
7XHDIA3BBR,inicialization,0.16333997346592444,1.0,0.5,3,0,3,17,3,6
7851OPKL2S,inicialization,0.10557280900008414,1.0,0.4,5,1,3,6,7,7
QGJ4N1E4CQ,inicialization,0.198959010620139,0.047619047619047616,0.4,4,1,3,8,4,2
D7T2SVUF6O,inicialization,0.3675444679663241,0.380952380952381,0.525,5,1,5,28,8,1
A4HWRYPFLM,inicialization,0.16333997346592444,1.0,0.5,5,0,5,3,5,4
TIIMNJMIYB,inicialization,0.16333997346592444,1.0,0.5,4,0,3,16,8,6
QQ5I7JUNGW,inicialization,0.2254033307585166,1.0,0.33333333333333337,4,0,4,6,4,8
W1Q0TZ0363,inicialization,0.16333997346592444,1.0,0.5,3,0,5,39,8,7
K24CPIMPZ0,inicialization,0.16333997346592444,1.0,0.5,5,0,4,30,8,5
LBXFTL79AN,inicialization,0.2254033307585166,1.0,0.33333333333333337,4,1,3,23,5,8
W3YWSS5HQR,inicialization,0.683772233983162,0.1428571428571429,0.4166666666666667,2,1,3,29,2,2
VIJMC9CJYU,inicialization,0.10557280900008414,1.0,0.4,5,1,4,9,6,7
4MXCTGS589,inicialization,0.16333997346592444,1.0,0.5,4,1,3,15,4,6
IQTNNR25P4,inicialization,0.3675444679663241,0.380952380952381,0.525,4,1,3,26,8,1
Z1QG3B1HYA,inicialization,0.10557280900008414,1.0,0.4,7,0,4,3,7,6
92S3MLMR05,inicialization,0.3675444679663241,0.380952380952381,0.525,3,1,5,30,3,2
JYPDTVVU11,inicialization,0.683772233983162,0.1428571428571429,0.4166666666666667,2,1,4,4,2,2
2BINOQ4Y06,inicialization,0.683772233983162,0.1428571428571429,0.4166666666666667,3,1,3,39,6,4
9QTTSOTH15,inicialization,0.16333997346592444,1.0,0.5,5,0,4,22,7,5
OB37DOSU28,inicialization,0.2254033307585166,1.0,0.33333333333333337,3,1,4,34,4,8
21MJO9W6UR,inicialization,0.10557280900008414,1.0,0.4,6,0,5,2,6,8
