id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst,max_iter,tol,lambda,l1_ratio,class_weight
78A7ORCTU5,105,crossover,0.4790772392401298,0.011586251219918593,0.02823842823842826,0.04597932218892442,0.4680523536249349,0.013701900658422396,0.027639027639027702,0.05676285962884764,117,0.021914476043411603,49414.85589371351,0.47041007214868186,7
GZ0X1CRBAX,105,crossover,0.5313797786383078,0.004083751874509056,0.01065162907268169,0.03067268514488708,0.5218390648372769,0.007527092309701006,0.03870967741935483,0.04238686839454797,137,0.02090320430767642,52568.02290457435,0.4691997871951721,8
P7RPSAQQVO,105,mutation,0.5732604263021466,0.0034083335316940798,0.02147186147186142,0.02650631207937315,0.5575077817111078,0.003666088448697144,0.0014022435897435015,0.033992791715613535,148,0.01527358003787268,46322.74798905698,0.4542080583107591,8
VVZ7UUW5PH,105,crossover,0.4375221113464627,0.014810109257099332,0.019220614637237232,0.043388723781417116,0.43498639547608253,0.00519183780053345,0.093568423161691,0.03943672664685316,146,0.04232483161289435,54543.65120365303,0.33259050763933884,7
9GCL6R8PLA,105,crossover,0.47432476707939664,0.012609792673347456,0.03685937894471092,0.0468449274701529,0.46683215162261893,0.014667151623673363,0.040428201709669875,0.05598010582050872,146,0.015823685098270403,43800.32142236855,0.49832566764080505,7
O3U5BNZ8SE,105,crossover,0.5904424207092438,0.000675418342814977,0.039013195639701626,0.021584865931351227,0.5910753399071152,0.0011564359390446347,0.026129426129426037,0.02403320742000148,131,0.04294324020128181,53408.19025595005,0.6142658168568368,8
D0CHP57U5A,105,crossover,0.23198123844054952,0.13141796196234318,0.02238460601631964,0.19028048927077756,0.2349746059847735,0.14931639714248413,0.021165449348999665,0.19310148525690707,84,0.031050283698460256,47397.284861698136,0.5392899353876575,3
LDZT0ZF5FC,105,mutation,0.4790772392401298,0.011586251219918593,0.02823842823842826,0.04597932218892442,0.4680523536249349,0.013701900658422396,0.027639027639027702,0.05676285962884764,139,0.017623421475990275,47424.176591282,0.4743568086159323,7
GBIFNJSF99,105,crossover,0.5733070568627072,0.0014639023112994216,0.0608490566037736,0.011231453042467865,0.5620258400868341,0.0015416037155167586,0.012677266867210935,0.01952267487134185,140,0.03005068351995491,52141.926762012554,0.5100705817819182,8
K2QHY3QVQN,105,crossover,0.5904424207092438,0.000675418342814977,0.039013195639701626,0.021584865931351227,0.5910753399071152,0.0011564359390446347,0.026129426129426037,0.02403320742000148,140,0.042740879076578475,51184.90204399788,0.6133350774106263,8
